#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         167     1.68068     2.54904   0.0321113
         168     1.67141     2.54381   0.0323423
         169     1.66239      2.5386   0.0325687
         170     1.65364     2.53339   0.0327905
         171     1.64514      2.5282   0.0330076
         172     1.63692     2.52301     0.03322
         173     1.62897     2.51785   0.0334275
         174     1.62129     2.51269   0.0336302
         175      1.6139     2.50756   0.0338279
         176     1.60679     2.50244   0.0340207
         177     1.59996     2.49734   0.0342084
         178     1.59343     2.49226   0.0343911
         179     1.58718     2.48721   0.0345687
         180     1.58123     2.48217   0.0347411
         181     1.57558     2.47716   0.0349084
         182     1.57023     2.47218   0.0350704
         183     1.56518     2.46722   0.0352273
         184     1.56042      2.4623   0.0353789
         185     1.55597      2.4574   0.0355252
         186     1.55181     2.45253   0.0356663
         187     1.54795     2.44769   0.0358021
         188     1.54439     2.44289   0.0359326
         189     1.54112     2.43812   0.0360579
         190     1.53814     2.43338   0.0361779
         191     1.53545     2.42868   0.0362926
         192     1.53304     2.42401   0.0364022
         193     1.53091     2.41938   0.0365065
         194     1.52905      2.4148   0.0366057
         195     1.52746     2.41025   0.0366997
         196     1.52613     2.40573   0.0367886
         197     1.52506     2.40126   0.0368725
         198     1.52424     2.39683   0.0369513
         199     1.52365     2.39245   0.0370253
         200      1.5233      2.3881   0.0370943
         201     1.52317      2.3838   0.0371585
         202     1.52326     2.37954   0.0372179
         203     1.52355     2.37532   0.0372727
         204     1.52404     2.37115   0.0373229
         205     1.52471     2.36702   0.0373685
         206     1.52556     2.36293   0.0374097
         207     1.52657     2.35889   0.0374465
         208     1.52774      2.3549   0.0374791
         209     1.52905     2.35095   0.0375075
         210      1.5305     2.34704   0.0375318
         211     1.53207     2.34318   0.0375521
         212     1.53376     2.33936   0.0375686
         213     1.53554     2.33559   0.0375813
         214     1.53743     2.33186   0.0375903
         215     1.53939     2.32817   0.0375957
         216     1.54143     2.32453   0.0375977
         217     1.54353     2.32093   0.0375963
         218     1.54568     2.31737   0.0375916
         219     1.54789     2.31386   0.0375838
         220     1.55012     2.31039    0.037573
         221     1.55239     2.30696   0.0375592
         222     1.55467     2.30357   0.0375426
         223     1.55697     2.30022   0.0375232
         224     1.55927     2.29691   0.0375012
         225     1.56158     2.29364   0.0374767
         226     1.56387     2.29042   0.0374497
         227     1.56615     2.28723   0.0374204
         228     1.56842     2.28407   0.0373888
         229     1.57066     2.28096   0.0373551
         230     1.57287     2.27788   0.0373194
         231     1.57505     2.27484   0.0372816
         232     1.57719     2.27183    0.037242
         233     1.57929     2.26886   0.0372006
         234     1.58135     2.26592   0.0371574
         235     1.58337     2.26301   0.0371127
         236     1.58533     2.26014   0.0370663
         237     1.58725      2.2573   0.0370185
         238     1.58912      2.2545   0.0369693
         239     1.59094     2.25172   0.0369187
         240     1.59271     2.24897   0.0368668
         241     1.59442     2.24626   0.0368138
         242     1.59607     2.24357   0.0367596
         243     1.59768     2.24091   0.0367043
         244     1.59923     2.23828   0.0366479
         245     1.60073     2.23568   0.0365906
         246     1.60218     2.23311   0.0365324
         247     1.60357     2.23056   0.0364733
         248     1.60492     2.22803   0.0364133
         249     1.60621     2.22554   0.0363526
         250     1.60746     2.22306   0.0362912
         251     1.60867     2.22062   0.0362291
         252     1.60983     2.21819   0.0361663
         253     1.61095     2.21579   0.0361029
         254     1.61202     2.21342   0.0360389
         255     1.61306     2.21106   0.0359744
         256     1.61406     2.20873   0.0359094
         257     1.61503     2.20642   0.0358439
         258     1.61597     2.20413    0.035778
         259     1.61687     2.20186   0.0357116
         260     1.61774     2.19962   0.0356448
         261     1.61859     2.19739   0.0355777
         262     1.61941     2.19518   0.0355103
         263     1.62021       2.193   0.0354425
         264     1.62099     2.19083   0.0353744
         265     1.62175     2.18868    0.035306
         266     1.62249     2.18656   0.0352374
         267     1.62322     2.18445   0.0351685
         268     1.62393     2.18235   0.0350994
         269     1.62463     2.18028   0.0350301
         270     1.62531     2.17823   0.0349606
         271     1.62599     2.17619    0.034891
         272     1.62666     2.17417   0.0348211
         273     1.62731     2.17216   0.0347512
         274     1.62796     2.17018    0.034681
         275     1.62861     2.16821   0.0346108
         276     1.62924     2.16626   0.0345404
         277     1.62987     2.16432     0.03447
         278      1.6305      2.1624   0.0343994
         279     1.63112      2.1605   0.0343288
         280     1.63173     2.15861   0.0342581
         281     1.63234     2.15673   0.0341873
         282     1.63294     2.15488   0.0341165
         283     1.63354     2.15303   0.0340457
         284     1.63413     2.15121   0.0339748
         285     1.63471     2.14939   0.0339039
         286     1.63529      2.1476    0.033833
         287     1.63586     2.14581    0.033762
         288     1.63643     2.14405   0.0336911
         289     1.63698     2.14229   0.0336202
         290     1.63753     2.14055   0.0335493
         291     1.63807     2.13882   0.0334784
         292      1.6386     2.13711   0.0334075
         293     1.63912     2.13541   0.0333367
         294     1.63964     2.13372    0.033266
         295     1.64014     2.13205   0.0331952
         296     1.64063     2.13039   0.0331246
         297     1.64111     2.12874    0.033054
         298     1.64157     2.12711   0.0329835
         299     1.64203     2.12549    0.032913
         300     1.64247     2.12388   0.0328427
         301      1.6429     2.12228   0.0327724
         302     1.64332     2.12069   0.0327023
         303     1.64373     2.11912   0.0326322
         304     1.64412     2.11756   0.0325622
         305     1.64451     2.11601   0.0324924
         306     1.64488     2.11447   0.0324227
         307     1.64524     2.11294   0.0323531
         308     1.64559     2.11142   0.0322836
         309     1.64593     2.10991   0.0322142
         310     1.64627     2.10842    0.032145
         311     1.64659     2.10693   0.0320759
         312     1.64692     2.10546    0.032007
         313     1.64723     2.10399   0.0319382
         314     1.64755     2.10254   0.0318695
         315     1.64786      2.1011    0.031801
         316     1.64818     2.09966   0.0317327
         317     1.64849     2.09824   0.0316645
         318     1.64881     2.09683   0.0315964
         319     1.64913     2.09542   0.0315285
         320     1.64946     2.09403   0.0314608
         321      1.6498     2.09265   0.0313932
         322     1.65015     2.09127   0.0313258
         323     1.65051     2.08991   0.0312585
         324     1.65088     2.08855   0.0311914
         325     1.65126     2.08721   0.0311244
         326     1.65166     2.08587   0.0310576
         327     1.65208     2.08454    0.030991
         328     1.65251     2.08323   0.0309244
         329     1.65296     2.08192   0.0308581
         330     1.65343     2.08062   0.0307919
         331     1.65392     2.07933   0.0307258
         332     1.65443     2.07805   0.0306599
         333     1.65496     2.07678   0.0305942
         334      1.6555     2.07552   0.0305286
         335     1.65607     2.07427   0.0304631
         336     1.65665     2.07303   0.0303978
         337     1.65725     2.07179   0.0303326
         338     1.65786     2.07057   0.0302676
         339     1.65849     2.06935   0.0302027
         340     1.65913     2.06814    0.030138
         341     1.65977     2.06695   0.0300734
         342     1.66043     2.06576   0.0300089
         343     1.66109     2.06458   0.0299446
         344     1.66176     2.06341   0.0298804
         345     1.66243     2.06225   0.0298164
         346     1.66309     2.06109   0.0297526
         347     1.66374     2.05995   0.0296888
         348     1.66439     2.05881   0.0296253
         349     1.66503     2.05768   0.0295619
         350     1.66565     2.05656   0.0294986
         351     1.66625     2.05545   0.0294355
         352     1.66683     2.05435   0.0293726
         353     1.66739     2.05325   0.0293098
         354     1.66792     2.05216   0.0292472
         355     1.66842     2.05108   0.0291848
         356     1.66888     2.05001   0.0291226
         357     1.66931     2.04894   0.0290605
         358      1.6697     2.04788   0.0289987
         359     1.67004     2.04683    0.028937
         360     1.67034     2.04578   0.0288755
         361      1.6706     2.04474   0.0288142
         362      1.6708     2.04371   0.0287531
         363     1.67096     2.04268   0.0286922
         364     1.67106     2.04166   0.0286316
         365     1.67111     2.04065   0.0285711
         366     1.67111     2.03964   0.0285109
         367     1.67105     2.03863   0.0284509
         368     1.67093     2.03763   0.0283911
         369     1.67076     2.03664   0.0283316
         370     1.67053     2.03565   0.0282723
         371     1.67025     2.03467   0.0282132
         372     1.66991     2.03368   0.0281544
         373     1.66952     2.03271   0.0280959
         374     1.66907     2.03174   0.0280375
         375     1.66858     2.03077   0.0279795
         376     1.66802      2.0298   0.0279217
         377     1.66742     2.02884   0.0278642
         378     1.66678     2.02788   0.0278069
         379     1.66608     2.02693   0.0277499
         380     1.66534     2.02598   0.0276932
         381     1.66457     2.02503   0.0276368
         382     1.66375     2.02408   0.0275806
         383     1.66289     2.02314   0.0275247
         384       1.662      2.0222   0.0274691
         385     1.66108     2.02126   0.0274138
         386     1.66013     2.02033   0.0273587
         387     1.65915     2.01939   0.0273039
         388     1.65815     2.01846   0.0272494
         389     1.65713     2.01753   0.0271952
         390      1.6561     2.01661   0.0271413
         391     1.65505     2.01568   0.0270876
         392     1.65399     2.01476   0.0270342
         393     1.65292     2.01384   0.0269811
         394     1.65184     2.01292   0.0269282
         395     1.65076       2.012   0.0268757
         396     1.64968     2.01109   0.0268234
         397     1.64861     2.01017   0.0267713
         398     1.64753     2.00926   0.0267196
         399     1.64647     2.00835   0.0266681
         400     1.64542     2.00745   0.0266168
         401     1.64438     2.00654   0.0265659
         402     1.64335     2.00564   0.0265151
         403     1.64235     2.00474   0.0264647
         404     1.64136     2.00384   0.0264144
         405     1.64039     2.00294   0.0263645
         406     1.63945     2.00204   0.0263147
         407     1.63853     2.00115   0.0262652
         408     1.63764     2.00026   0.0262159
         409     1.63678     1.99937   0.0261669
         410     1.63595     1.99849   0.0261181
         411     1.63516      1.9976   0.0260695
         412     1.63439     1.99672   0.0260211
         413     1.63367     1.99584    0.025973
         414     1.63298     1.99496    0.025925
         415     1.63233     1.99409   0.0258773
         416     1.63172     1.99322   0.0258297
         417     1.63115     1.99235   0.0257824
         418     1.63062     1.99149   0.0257352
         419     1.63014     1.99062   0.0256882
         420      1.6297     1.98976   0.0256414
         421     1.62931     1.98891   0.0255948
         422     1.62897     1.98805   0.0255484
         423     1.62867     1.98721   0.0255021
         424     1.62842     1.98636    0.025456
         425     1.62823     1.98552     0.02541
         426     1.62809     1.98468   0.0253642
         427       1.628     1.98384   0.0253186
         428     1.62796     1.98301   0.0252731
         429     1.62799     1.98218   0.0252277
         430     1.62807     1.98136   0.0251825
         431      1.6282     1.98054   0.0251374
         432      1.6284     1.97972   0.0250924
         433     1.62867     1.97891   0.0250476
         434     1.62899     1.97811   0.0250028
         435     1.62939     1.97731   0.0249582
         436     1.62984     1.97651   0.0249137
         437     1.63037     1.97572   0.0248692
         438     1.63097     1.97493   0.0248249
         439     1.63163     1.97415   0.0247807
         440     1.63237     1.97337   0.0247365
         441     1.63319      1.9726   0.0246925
         442     1.63408     1.97183   0.0246485
         443     1.63504     1.97107   0.0246046
         444     1.63609     1.97032   0.0245607
         445     1.63721     1.96957   0.0245169
         446      1.6384     1.96883   0.0244732
         447     1.63968     1.96809   0.0244295
         448     1.64104     1.96736   0.0243859
         449     1.64247     1.96664   0.0243423
         450     1.64398     1.96592   0.0242988
         451     1.64558     1.96521   0.0242553
         452     1.64725     1.96451   0.0242118
         453       1.649     1.96381   0.0241684
         454     1.65083     1.96312    0.024125
         455     1.65273     1.96244   0.0240816
         456      1.6547     1.96176   0.0240382
         457     1.65675      1.9611   0.0239949
         458     1.65886     1.96044   0.0239516
         459     1.66104     1.95978   0.0239083
         460     1.66329     1.95914    0.023865
         461     1.66559      1.9585   0.0238217
         462     1.66795     1.95787   0.0237785
         463     1.67037     1.95725   0.0237352
         464     1.67284     1.95664    0.023692
         465     1.67535     1.95604   0.0236487
         466     1.67791     1.95544   0.0236055
         467      1.6805     1.95485   0.0235623
         468     1.68313     1.95427   0.0235191
         469     1.68578      1.9537   0.0234759
         470     1.68846     1.95313   0.0234328
         471     1.69116     1.95258   0.0233896
         472     1.69388     1.95203   0.0233465
         473      1.6966     1.95149   0.0233034
         474     1.69932     1.95096   0.0232603
         475     1.70205     1.95043   0.0232172
         476     1.70477     1.94992   0.0231742
         477     1.70747     1.94941   0.0231312
         478     1.71017     1.94891   0.0230882
         479     1.71284     1.94841   0.0230452
         480     1.71549     1.94793   0.0230023
         481     1.71812     1.94745   0.0229595
         482     1.72071     1.94698   0.0229167
         483     1.72326     1.94652   0.0228739
         484     1.72578     1.94606   0.0228312
         485     1.72825     1.94561   0.0227885
         486     1.73067     1.94517   0.0227459
         487     1.73305     1.94474   0.0227034
         488     1.73537     1.94431   0.0226609
         489     1.73764     1.94388   0.0226185
         490     1.73985     1.94347   0.0225762
         491       1.742     1.94306   0.0225339
         492     1.74408     1.94265   0.0224918
         493     1.74611     1.94225   0.0224497
         494     1.74807     1.94186   0.0224077
         495     1.74996     1.94147   0.0223658
         496     1.75178     1.94109   0.0223239
         497     1.75354     1.94071   0.0222822
         498     1.75523     1.94034   0.0222406
         499     1.75685     1.93997   0.0221991
         500      1.7584     1.93961   0.0221576
         501     1.75988     1.93925   0.0221163
         502     1.76129      1.9389   0.0220751
         503     1.76263     1.93855    0.022034
         504     1.76391      1.9382    0.021993
         505     1.76512     1.93786   0.0219521
         506     1.76627     1.93752   0.0219113
         507     1.76734     1.93718   0.0218707
         508     1.76836     1.93685   0.0218302
         509     1.76931     1.93652   0.0217898
         510      1.7702     1.93619   0.0217495
         511     1.77103     1.93587   0.0217093
         512      1.7718     1.93555   0.0216693
         513     1.77252     1.93523   0.0216294
         514     1.77317     1.93492   0.0215896
         515     1.77377      1.9346   0.0215499
         516     1.77432     1.93429   0.0215104
         517     1.77482     1.93399    0.021471
         518     1.77528     1.93368   0.0214317
         519     1.77568     1.93337   0.0213926
         520     1.77604     1.93307   0.0213536
         521     1.77635     1.93277   0.0213147
         522     1.77662     1.93247    0.021276
         523     1.77685     1.93217   0.0212374
         524     1.77704     1.93188   0.0211989
         525     1.77719     1.93158   0.0211606
         526     1.77731     1.93129   0.0211224
         527     1.77739       1.931   0.0210844
         528     1.77744     1.93071   0.0210464
         529     1.77746     1.93042   0.0210086
         530     1.77745     1.93013    0.020971
         531     1.77741     1.92984   0.0209335
         532     1.77734     1.92956   0.0208961
         533     1.77725     1.92927   0.0208588
         534     1.77713     1.92898   0.0208217
         535     1.77699      1.9287   0.0207847
         536     1.77683     1.92842   0.0207479
         537     1.77665     1.92813   0.0207112
         538     1.77645     1.92785   0.0206746
         539     1.77622     1.92757   0.0206381
         540     1.77599     1.92729   0.0206018
         541     1.77573     1.92701   0.0205657
         542     1.77546     1.92673   0.0205296
         543     1.77517     1.92645   0.0204937
         544     1.77487     1.92617   0.0204579
         545     1.77456     1.92589   0.0204223
         546     1.77423     1.92562   0.0203868
         547     1.77389     1.92534   0.0203514
         548     1.77354     1.92506   0.0203161
         549     1.77317     1.92479    0.020281
         550      1.7728     1.92451    0.020246
         551     1.77241     1.92423   0.0202112
         552     1.77202     1.92396   0.0201764
         553     1.77161     1.92368   0.0201418
         554      1.7712     1.92341   0.0201073
         555     1.77077     1.92313    0.020073
         556     1.77034     1.92286   0.0200388
         557      1.7699     1.92258   0.0200047
         558     1.76944     1.92231   0.0199707
         559     1.76898     1.92203   0.0199369
         560     1.76851     1.92176   0.0199032
         561     1.76802     1.92149   0.0198696
         562     1.76753     1.92121   0.0198361
         563     1.76702     1.92094   0.0198028
         564      1.7665     1.92066   0.0197695
         565     1.76597     1.92039   0.0197364
         566     1.76543     1.92012   0.0197035
         567     1.76487     1.91984   0.0196706
         568      1.7643     1.91957   0.0196379
         569     1.76372      1.9193   0.0196053
         570     1.76313     1.91902   0.0195728
         571     1.76252     1.91875   0.0195405
         572     1.76189     1.91847   0.0195082
         573     1.76125      1.9182   0.0194761
         574     1.76059     1.91792   0.0194441
         575     1.75991     1.91765   0.0194122
         576     1.75922     1.91737   0.0193805
         577     1.75851      1.9171   0.0193488
         578     1.75777     1.91682   0.0193173
         579     1.75702     1.91655   0.0192859
         580     1.75624     1.91627   0.0192547
         581     1.75544     1.91599   0.0192235
         582     1.75462     1.91572   0.0191925
         583     1.75378     1.91544   0.0191616
         584     1.75291     1.91516   0.0191308
         585     1.75202     1.91488   0.0191001
         586      1.7511      1.9146   0.0190696
         587     1.75016     1.91432   0.0190391
         588     1.74919     1.91404   0.0190088
         589     1.74819     1.91376   0.0189786
         590     1.74717     1.91348   0.0189486
         591     1.74611     1.91319   0.0189186
         592     1.74503     1.91291   0.0188888
         593     1.74392     1.91262   0.0188591
         594     1.74278     1.91234   0.0188295
         595     1.74161     1.91205   0.0188001
         596     1.74041     1.91176   0.0187707
         597     1.73919     1.91148   0.0187415
         598     1.73793     1.91118   0.0187124
         599     1.73664     1.91089   0.0186834
         600     1.73533      1.9106   0.0186546
         601     1.73398     1.91031   0.0186259
         602     1.73261     1.91001   0.0185973
         603     1.73121     1.90972   0.0185688
         604     1.72978     1.90942   0.0185404
         605     1.72832     1.90912   0.0185122
         606     1.72684     1.90882   0.0184841
         607     1.72533     1.90851   0.0184561
         608     1.72379     1.90821   0.0184283
