#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         167     1.12045     1.69936   0.0214075
         168     1.11427     1.69587   0.0215615
         169     1.10826      1.6924   0.0217125
         170     1.10242     1.68893   0.0218603
         171     1.09676     1.68546   0.0220051
         172     1.09128     1.68201   0.0221467
         173     1.08598     1.67856    0.022285
         174     1.08086     1.67513   0.0224201
         175     1.07593      1.6717   0.0225519
         176     1.07119     1.66829   0.0226804
         177     1.06664     1.66489   0.0228056
         178     1.06228     1.66151   0.0229274
         179     1.05812     1.65814   0.0230458
         180     1.05416     1.65478   0.0231607
         181     1.05039     1.65144   0.0232722
         182     1.04682     1.64812   0.0233803
         183     1.04345     1.64482   0.0234848
         184     1.04028     1.64153   0.0235859
         185     1.03731     1.63826   0.0236835
         186     1.03454     1.63502   0.0237775
         187     1.03197     1.63179   0.0238681
         188     1.02959     1.62859   0.0239551
         189     1.02741     1.62541   0.0240386
         190     1.02543     1.62225   0.0241186
         191     1.02363     1.61912   0.0241951
         192     1.02202     1.61601   0.0242681
         193      1.0206     1.61292   0.0243377
         194     1.01937     1.60986   0.0244038
         195     1.01831     1.60683   0.0244664
         196     1.01742     1.60382   0.0245257
         197     1.01671     1.60084   0.0245816
         198     1.01616     1.59789   0.0246342
         199     1.01577     1.59496   0.0246835
         200     1.01554     1.59207   0.0247295
         201     1.01545      1.5892   0.0247723
         202     1.01551     1.58636    0.024812
         203      1.0157     1.58355   0.0248485
         204     1.01603     1.58077   0.0248819
         205     1.01647     1.57801   0.0249123
         206     1.01704     1.57529   0.0249398
         207     1.01771      1.5726   0.0249643
         208     1.01849     1.56993    0.024986
         209     1.01937      1.5673    0.025005
         210     1.02033     1.56469   0.0250212
         211     1.02138     1.56212   0.0250347
         212      1.0225     1.55957   0.0250457
         213      1.0237     1.55706   0.0250542
         214     1.02495     1.55457   0.0250602
         215     1.02626     1.55211   0.0250638
         216     1.02762     1.54969   0.0250651
         217     1.02902     1.54729   0.0250642
         218     1.03046     1.54491   0.0250611
         219     1.03192     1.54257   0.0250559
         220     1.03341     1.54026   0.0250487
         221     1.03492     1.53797   0.0250395
         222     1.03645     1.53571   0.0250284
         223     1.03798     1.53348   0.0250155
         224     1.03952     1.53128   0.0250008
         225     1.04105      1.5291   0.0249844
         226     1.04258     1.52694   0.0249665
         227      1.0441     1.52482   0.0249469
         228     1.04561     1.52271   0.0249259
         229      1.0471     1.52064   0.0249034
         230     1.04858     1.51859   0.0248796
         231     1.05003     1.51656   0.0248544
         232     1.05146     1.51455    0.024828
         233     1.05286     1.51257   0.0248004
         234     1.05423     1.51061   0.0247716
         235     1.05558     1.50868   0.0247418
         236     1.05689     1.50676   0.0247109
         237     1.05817     1.50487    0.024679
         238     1.05942       1.503   0.0246462
         239     1.06063     1.50115   0.0246125
         240      1.0618     1.49932   0.0245779
         241     1.06294      1.4975   0.0245425
         242     1.06405     1.49571   0.0245064
         243     1.06512     1.49394   0.0244695
         244     1.06615     1.49219    0.024432
         245     1.06715     1.49045   0.0243937
         246     1.06812     1.48874   0.0243549
         247     1.06905     1.48704   0.0243155
         248     1.06995     1.48536   0.0242756
         249     1.07081     1.48369   0.0242351
         250     1.07164     1.48204   0.0241941
         251     1.07245     1.48041   0.0241527
         252     1.07322      1.4788   0.0241109
         253     1.07396      1.4772   0.0240686
         254     1.07468     1.47561    0.024026
         255     1.07538     1.47404   0.0239829
         256     1.07604     1.47249   0.0239396
         257     1.07669     1.47095   0.0238959
         258     1.07731     1.46942    0.023852
         259     1.07791     1.46791   0.0238077
         260     1.07849     1.46641   0.0237632
