#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         152    -5.21303    -6.00409    0.029003
         153    -5.20077    -5.99884   0.0292849
         154    -5.18869    -5.99358   0.0295634
         155    -5.17724    -5.98832   0.0298382
         156    -5.16538    -5.98304   0.0301096
         157    -5.15386    -5.97776   0.0303775
         158    -5.14299    -5.97248   0.0306412
         159    -5.13188    -5.96719   0.0309012
         160    -5.12098     -5.9619   0.0311574
         161    -5.11044    -5.95661   0.0314095
         162    -5.09998    -5.95132   0.0316576
         163    -5.08989    -5.94604   0.0319015
         164    -5.08019    -5.94076   0.0321408
         165    -5.07028    -5.93548   0.0323761
         166    -5.06076    -5.93021   0.0326071
         167    -5.05149    -5.92495   0.0328336
         168    -5.04247     -5.9197   0.0330557
         169    -5.03311    -5.91445   0.0332738
         170    -5.02492    -5.90922    0.033487
         171    -5.01669      -5.904   0.0336955
         172    -5.00889     -5.8988    0.033899
         173    -5.00152    -5.89361   0.0340976
         174    -4.99428    -5.88844   0.0342911
         175    -4.98716    -5.88329   0.0344797
         176    -4.98049    -5.87816   0.0346633
         177    -4.97396    -5.87305   0.0348418
         178    -4.96786    -5.86797   0.0350153
         179    -4.96191    -5.86291   0.0351836
         180    -4.95626    -5.85787   0.0353468
         181    -4.95136    -5.85286   0.0355046
         182    -4.94661    -5.84788    0.035657
         183    -4.94186    -5.84293   0.0358042
         184     -4.9374    -5.83801   0.0359462
         185    -4.93355    -5.83312   0.0360829
         186    -4.93014    -5.82827    0.036214
         187    -4.92643    -5.82344     0.03634
         188    -4.92286    -5.81865   0.0364611
         189    -4.92018     -5.8139   0.0365768
         190    -4.91749    -5.80918   0.0366873
         191    -4.91523     -5.8045   0.0367926
         192     -4.9128    -5.79986   0.0368929
         193    -4.91094    -5.79525   0.0369881
         194    -4.90935    -5.79068   0.0370783
         195    -4.90803    -5.78616   0.0371634
         196     -4.9068    -5.78167   0.0372436
         197    -4.90613    -5.77723   0.0373188
         198    -4.90525    -5.77282   0.0373893
         199    -4.90489    -5.76846   0.0374549
         200    -4.90477    -5.76414   0.0375157
         201    -4.90516    -5.75987   0.0375717
         202    -4.90545    -5.75564   0.0376231
         203    -4.90608    -5.75145   0.0376698
         204    -4.90691    -5.74731   0.0377119
         205    -4.90776    -5.74322   0.0377497
         206    -4.90892    -5.73917   0.0377831
         207    -4.90994    -5.73516   0.0378123
         208    -4.91125     -5.7312   0.0378374
         209    -4.91285    -5.72729   0.0378584
         210    -4.91458    -5.72342   0.0378754
         211    -4.91581    -5.71959   0.0378888
         212     -4.9179    -5.71581   0.0378984
         213    -4.91948    -5.71207   0.0379044
         214     -4.9216    -5.70838   0.0379068
         215    -4.92379    -5.70473   0.0379058
         216    -4.92589    -5.70112   0.0379014
         217    -4.92835    -5.69756   0.0378937
         218     -4.9307    -5.69404   0.0378828
         219    -4.93293    -5.69057   0.0378689
         220    -4.93505    -5.68713   0.0378521
         221    -4.93779    -5.68374   0.0378324
         222    -4.94024    -5.68039   0.0378099
         223    -4.94284    -5.67708   0.0377848
         224    -4.94499    -5.67382   0.0377572
         225    -4.94744    -5.67059   0.0377271
         226    -4.94972     -5.6674   0.0376948
         227    -4.95214    -5.66425   0.0376602
         228    -4.95438    -5.66113   0.0376235
         229    -4.95644    -5.65806   0.0375848
         230    -4.95892    -5.65502   0.0375441
         231    -4.96091    -5.65201   0.0375017
         232    -4.96286    -5.64904   0.0374575
         233    -4.96477     -5.6461   0.0374117
         234    -4.96694     -5.6432   0.0373642
         235    -4.96906    -5.64033   0.0373152
         236    -4.97113     -5.6375   0.0372646
         237    -4.97285    -5.63469   0.0372128
         238    -4.97512    -5.63192   0.0371595
         239    -4.97673    -5.62918    0.037105
         240    -4.97844    -5.62647   0.0370493
         241     -4.9804    -5.62379   0.0369924
         242     -4.9817    -5.62114   0.0369346
         243    -4.98341    -5.61851   0.0368757
         244    -4.98475    -5.61591    0.036816
         245     -4.9862    -5.61334   0.0367553
         246     -4.9876     -5.6108   0.0366938
         247    -4.98864    -5.60828   0.0366316
         248    -4.99024    -5.60579   0.0365686
         249    -4.99179    -5.60332   0.0365047
         250    -4.99299    -5.60088   0.0364403
         251    -4.99431    -5.59846   0.0363751
         252    -4.99573    -5.59607   0.0363093
         253    -4.99695     -5.5937    0.036243
         254    -4.99799    -5.59136   0.0361761
         255    -4.99884    -5.58904   0.0361087
         256    -4.99981    -5.58673    0.036041
         257    -5.00059    -5.58445   0.0359728
         258    -5.00165    -5.58219   0.0359043
         259    -5.00222    -5.57996   0.0358354
         260    -5.00291    -5.57774   0.0357662
         261    -5.00389    -5.57554   0.0356967
         262    -5.00469    -5.57336   0.0356269
         263    -5.00562     -5.5712   0.0355568
         264    -5.00637    -5.56906   0.0354864
         265    -5.00757    -5.56694   0.0354157
         266    -5.00815    -5.56484   0.0353448
         267    -5.00871    -5.56276   0.0352737
         268     -5.0094    -5.56069   0.0352025
         269    -5.00994    -5.55865   0.0351311
         270    -5.01061    -5.55662   0.0350596
         271    -5.01098     -5.5546    0.034988
         272    -5.01164    -5.55261   0.0349163
         273    -5.01244    -5.55063   0.0348444
         274    -5.01278    -5.54866   0.0347725
         275    -5.01326    -5.54672   0.0347005
         276    -5.01374    -5.54479   0.0346284
         277    -5.01437    -5.54287   0.0345563
         278    -5.01499    -5.54097   0.0344842
         279     -5.0156    -5.53909   0.0344119
         280    -5.01621    -5.53722   0.0343397
         281    -5.01726    -5.53537   0.0342673
         282    -5.01771    -5.53354   0.0341949
         283     -5.0183    -5.53172   0.0341225
         284    -5.01889    -5.52991   0.0340501
         285    -5.01946    -5.52812   0.0339777
         286    -5.02003    -5.52634   0.0339053
         287     -5.0212    -5.52458   0.0338328
         288    -5.02161    -5.52284   0.0337604
         289    -5.02185     -5.5211    0.033688
         290    -5.02239    -5.51938   0.0336157
         291    -5.02277    -5.51768   0.0335435
         292    -5.02314    -5.51598   0.0334714
         293    -5.02381     -5.5143   0.0333992
         294    -5.02431    -5.51264   0.0333272
         295     -5.0248    -5.51098   0.0332552
         296    -5.02528    -5.50934   0.0331833
         297    -5.02544    -5.50771   0.0331116
         298     -5.0259     -5.5061   0.0330399
         299    -5.02634    -5.50449   0.0329684
         300    -5.02692     -5.5029   0.0328969
         301    -5.02749    -5.50132   0.0328255
         302     -5.0279    -5.49975   0.0327542
         303    -5.02814     -5.4982   0.0326831
         304    -5.02853    -5.49665    0.032612
         305     -5.0292    -5.49512   0.0325411
         306    -5.02941     -5.4936   0.0324703
         307    -5.02976    -5.49209   0.0323997
         308    -5.03041    -5.49059   0.0323292
         309    -5.03089     -5.4891   0.0322588
         310    -5.03092    -5.48762   0.0321885
         311    -5.03109    -5.48615   0.0321185
         312    -5.03156     -5.4847   0.0320486
         313    -5.03202    -5.48325   0.0319788
         314    -5.03188    -5.48181   0.0319092
         315    -5.03219    -5.48038   0.0318399
         316    -5.03251    -5.47897   0.0317706
         317    -5.03283    -5.47756   0.0317016
         318    -5.03345    -5.47616   0.0316326
         319    -5.03363    -5.47478   0.0315639
         320    -5.03397     -5.4734   0.0314953
         321    -5.03432    -5.47203   0.0314268
         322    -5.03467    -5.47067   0.0313586
         323    -5.03535    -5.46932   0.0312904
         324    -5.03649    -5.46799   0.0312224
         325    -5.03674    -5.46666   0.0311545
         326    -5.03745    -5.46535   0.0310867
         327    -5.03804    -5.46404   0.0310191
         328    -5.03834    -5.46274   0.0309517
         329    -5.03881    -5.46145   0.0308844
         330    -5.03945    -5.46017   0.0308173
         331    -5.03996     -5.4589   0.0307503
         332    -5.04064    -5.45764   0.0306835
         333    -5.04148    -5.45639   0.0306168
         334     -5.0422    -5.45515   0.0305502
         335    -5.04293    -5.45392   0.0304838
         336    -5.04383     -5.4527   0.0304175
         337     -5.0443    -5.45149   0.0303514
         338    -5.04492    -5.45029   0.0302854
         339    -5.04556    -5.44909   0.0302196
         340    -5.04651    -5.44791   0.0301539
         341    -5.04672    -5.44673   0.0300884
         342    -5.04708    -5.44557   0.0300231
         343    -5.04789    -5.44441    0.029958
         344    -5.04841    -5.44325    0.029893
         345    -5.04922    -5.44211   0.0298282
         346    -5.05003    -5.44098   0.0297635
         347    -5.05038    -5.43985    0.029699
         348    -5.05086    -5.43874   0.0296347
         349    -5.05178    -5.43763   0.0295705
         350    -5.05208    -5.43653   0.0295065
         351    -5.05236    -5.43543   0.0294427
         352    -5.05307    -5.43434   0.0293791
         353     -5.0539    -5.43327   0.0293157
         354     -5.0544     -5.4322   0.0292524
         355    -5.05487    -5.43113   0.0291893
         356    -5.05545    -5.43008   0.0291263
         357    -5.05583    -5.42903   0.0290636
         358    -5.05618    -5.42799   0.0290011
         359    -5.05618    -5.42695   0.0289388
         360    -5.05643    -5.42592   0.0288767
         361    -5.05634     -5.4249   0.0288149
         362    -5.05649    -5.42388   0.0287532
         363    -5.05644    -5.42287   0.0286918
         364    -5.05664    -5.42186   0.0286306
         365    -5.05664    -5.42086   0.0285697
         366    -5.05643    -5.41987    0.028509
         367    -5.05631    -5.41888   0.0284485
         368    -5.05599    -5.41789   0.0283883
         369    -5.05561    -5.41691   0.0283283
         370    -5.05518    -5.41593   0.0282686
         371    -5.05469    -5.41496   0.0282092
         372    -5.05415    -5.41399     0.02815
         373    -5.05355    -5.41302   0.0280911
         374    -5.05305    -5.41206   0.0280325
         375     -5.0525     -5.4111   0.0279741
         376     -5.0516    -5.41014   0.0279161
         377    -5.05095    -5.40919   0.0278583
         378    -5.05041    -5.40824   0.0278008
         379    -5.04952     -5.4073   0.0277435
         380    -5.04859    -5.40635   0.0276866
         381    -5.04777    -5.40541   0.0276299
         382    -5.04676    -5.40447   0.0275735
         383    -5.04587    -5.40354   0.0275174
         384     -5.0448     -5.4026   0.0274616
         385      -5.044    -5.40167    0.027406
         386    -5.04302    -5.40074   0.0273508
         387    -5.04202    -5.39981   0.0272958
         388    -5.04009    -5.39889   0.0272412
         389    -5.03906    -5.39796   0.0271869
         390    -5.03801    -5.39704   0.0271328
         391     -5.0368    -5.39612   0.0270791
         392    -5.03542     -5.3952   0.0270256
         393     -5.0342    -5.39428   0.0269725
         394    -5.03312    -5.39336   0.0269196
         395    -5.03219    -5.39245    0.026867
         396    -5.03111    -5.39154   0.0268146
         397    -5.03019    -5.39063   0.0267625
         398    -5.02958    -5.38972   0.0267106
         399    -5.02823    -5.38881    0.026659
         400    -5.02704    -5.38791   0.0266077
         401    -5.02601      -5.387   0.0265567
         402    -5.02531    -5.38611   0.0265059
         403    -5.02447    -5.38521   0.0264553
         404     -5.0235    -5.38431   0.0264049
         405    -5.02256    -5.38342   0.0263548
         406    -5.02164    -5.38253    0.026305
         407     -5.0203    -5.38164   0.0262554
         408    -5.01944    -5.38075   0.0262061
         409    -5.01846    -5.37986    0.026157
         410    -5.01766    -5.37898   0.0261081
         411     -5.0169     -5.3781   0.0260594
         412    -5.01617    -5.37722    0.026011
         413    -5.01549    -5.37635   0.0259627
         414    -5.01468    -5.37547   0.0259147
         415    -5.01423     -5.3746   0.0258669
         416    -5.01381    -5.37373   0.0258192
         417    -5.01298    -5.37287   0.0257718
         418    -5.01234    -5.37201   0.0257246
         419    -5.01175    -5.37115   0.0256775
         420    -5.01121    -5.37029   0.0256307
         421    -5.01057    -5.36944   0.0255841
         422    -5.01027    -5.36858   0.0255376
         423    -5.01002    -5.36774   0.0254913
         424    -5.00983    -5.36689   0.0254451
         425    -5.00984    -5.36605   0.0253991
         426    -5.00975    -5.36522   0.0253533
         427    -5.00971    -5.36438   0.0253076
         428    -5.00989    -5.36356    0.025262
         429    -5.00997    -5.36273   0.0252165
         430    -5.01026    -5.36191   0.0251712
         431    -5.00985    -5.36109   0.0251261
         432    -5.01027    -5.36028    0.025081
         433    -5.01074    -5.35948   0.0250361
         434    -5.01129    -5.35867   0.0249913
         435    -5.01174    -5.35788   0.0249465
         436    -5.01197    -5.35708   0.0249019
         437    -5.01257    -5.35629   0.0248574
         438    -5.01308    -5.35551    0.024813
         439    -5.01367    -5.35473   0.0247687
         440    -5.01433    -5.35396   0.0247245
         441    -5.01492    -5.35319   0.0246804
         442    -5.01604    -5.35243   0.0246363
         443    -5.01723    -5.35167   0.0245923
         444     -5.0182    -5.35092   0.0245484
         445     -5.0194    -5.35017   0.0245045
         446    -5.02052    -5.34943   0.0244607
         447    -5.02203     -5.3487    0.024417
         448    -5.02331    -5.34798   0.0243733
         449    -5.02498    -5.34726   0.0243296
         450    -5.02657    -5.34654    0.024286
         451    -5.02824    -5.34584   0.0242424
         452    -5.02999    -5.34514   0.0241988
         453    -5.03212    -5.34445   0.0241553
         454    -5.03417    -5.34376   0.0241117
         455    -5.03585    -5.34309   0.0240682
         456    -5.03774    -5.34242   0.0240248
         457    -5.03985    -5.34176   0.0239813
         458    -5.04188     -5.3411   0.0239379
         459    -5.04428    -5.34045   0.0238945
         460    -5.04658    -5.33982   0.0238511
         461    -5.04849    -5.33918   0.0238077
         462    -5.05061    -5.33856   0.0237643
         463    -5.05338    -5.33794    0.023721
         464    -5.05604    -5.33734   0.0236777
         465    -5.05875    -5.33674   0.0236343
         466    -5.06119    -5.33615    0.023591
         467    -5.06412    -5.33556   0.0235477
         468    -5.06693    -5.33499   0.0235043
         469    -5.06976    -5.33442    0.023461
         470    -5.07261    -5.33387   0.0234177
         471    -5.07548    -5.33332   0.0233744
         472    -5.07805    -5.33278   0.0233312
         473    -5.08077    -5.33224   0.0232879
         474     -5.0835    -5.33172   0.0232447
         475    -5.08652     -5.3312   0.0232015
         476    -5.08908    -5.33069   0.0231583
         477    -5.09177    -5.33019   0.0231152
         478    -5.09445     -5.3297   0.0230721
         479    -5.09695    -5.32921   0.0230291
         480    -5.09957    -5.32874    0.022986
         481    -5.10216    -5.32827   0.0229431
         482    -5.10502     -5.3278   0.0229002
         483    -5.10768    -5.32735   0.0228573
         484    -5.11015     -5.3269   0.0228145
         485    -5.11273    -5.32646   0.0227717
         486    -5.11526    -5.32602    0.022729
         487    -5.11773    -5.32559   0.0226863
         488     -5.1203    -5.32517   0.0226437
         489    -5.12281    -5.32476   0.0226012
         490    -5.12481    -5.32435   0.0225588
         491     -5.1272    -5.32395   0.0225164
         492    -5.12938    -5.32355   0.0224741
         493    -5.13148    -5.32316   0.0224319
         494    -5.13292    -5.32278   0.0223898
         495     -5.1349     -5.3224   0.0223478
         496    -5.13666    -5.32203   0.0223059
         497    -5.13804    -5.32166   0.0222641
         498    -5.13966    -5.32129   0.0222224
         499    -5.14136    -5.32093   0.0221807
         500    -5.14224    -5.32057   0.0221393
         501    -5.14365    -5.32022   0.0220979
         502      -5.145    -5.31987   0.0220566
         503    -5.14642    -5.31952   0.0220155
         504    -5.14794    -5.31918   0.0219744
         505    -5.14893    -5.31885   0.0219335
         506    -5.14971    -5.31851   0.0218927
         507    -5.15072    -5.31818    0.021852
         508    -5.15182    -5.31785   0.0218115
         509    -5.15271    -5.31753    0.021771
         510    -5.15369    -5.31721   0.0217307
         511    -5.15447    -5.31689   0.0216905
         512    -5.15518    -5.31657   0.0216504
         513    -5.15598    -5.31626   0.0216105
         514    -5.15659    -5.31595   0.0215707
         515    -5.15744    -5.31564    0.021531
         516    -5.15809    -5.31534   0.0214914
         517    -5.15854    -5.31503    0.021452
         518    -5.15894    -5.31473   0.0214127
         519    -5.15915    -5.31443   0.0213735
         520    -5.15946    -5.31414   0.0213345
         521    -5.15973    -5.31384   0.0212956
         522    -5.15981    -5.31354   0.0212569
         523    -5.15985    -5.31325   0.0212183
         524       -5.16    -5.31296   0.0211798
         525    -5.15997    -5.31267   0.0211415
         526    -5.16005    -5.31238   0.0211032
         527    -5.15995    -5.31209   0.0210652
         528    -5.15982     -5.3118   0.0210273
         529     -5.1598    -5.31151   0.0209895
         530    -5.15931    -5.31122   0.0209518
         531    -5.15939    -5.31094   0.0209143
         532     -5.1593    -5.31065    0.020877
         533    -5.15934    -5.31037   0.0208397
         534    -5.15905    -5.31009   0.0208026
         535    -5.15888     -5.3098   0.0207657
         536     -5.1587    -5.30952   0.0207288
         537     -5.1588    -5.30924   0.0206921
         538    -5.15858    -5.30896   0.0206556
         539    -5.15849    -5.30868   0.0206191
         540    -5.15839     -5.3084   0.0205828
         541    -5.15812    -5.30813   0.0205467
         542    -5.15768    -5.30785   0.0205106
         543    -5.15723    -5.30757   0.0204747
         544    -5.15676    -5.30729    0.020439
         545    -5.15628    -5.30702   0.0204033
         546    -5.15609    -5.30674   0.0203678
         547    -5.15574    -5.30646   0.0203325
         548    -5.15553    -5.30619   0.0202972
         549      -5.155    -5.30591   0.0202621
         550    -5.15432    -5.30564   0.0202272
         551    -5.15377    -5.30536   0.0201923
         552    -5.15306    -5.30509   0.0201576
         553     -5.1525    -5.30481   0.0201231
         554    -5.15222    -5.30453   0.0200886
         555    -5.15134    -5.30426   0.0200543
         556    -5.15089    -5.30398   0.0200202
         557    -5.15059    -5.30371   0.0199861
         558    -5.15028    -5.30343   0.0199522
         559     -5.1501    -5.30316   0.0199184
         560    -5.14962    -5.30288   0.0198847
         561    -5.14912    -5.30261   0.0198511
         562    -5.14892    -5.30234   0.0198177
         563     -5.1484    -5.30206   0.0197844
         564    -5.14802    -5.30179   0.0197512
         565    -5.14763    -5.30152   0.0197181
         566    -5.14677    -5.30124   0.0196852
         567     -5.1459    -5.30097   0.0196524
         568    -5.14517    -5.30069   0.0196197
         569    -5.14442    -5.30042   0.0195871
         570    -5.14396    -5.30015   0.0195547
         571    -5.14334    -5.29987   0.0195224
         572    -5.14239     -5.2996   0.0194902
         573    -5.14189    -5.29932   0.0194581
         574    -5.14106    -5.29904   0.0194262
         575    -5.14052    -5.29877   0.0193943
         576     -5.1398    -5.29849   0.0193626
         577    -5.13892    -5.29822    0.019331
         578    -5.13816    -5.29794   0.0192996
         579    -5.13739    -5.29766   0.0192682
         580    -5.13614    -5.29738    0.019237
         581    -5.13562    -5.29711   0.0192059
         582    -5.13477    -5.29683    0.019175
         583    -5.13391    -5.29655   0.0191441
         584    -5.13301    -5.29627   0.0191134
         585    -5.13225    -5.29599   0.0190828
         586    -5.13146    -5.29571   0.0190523
         587    -5.13033    -5.29542   0.0190219
         588    -5.12934    -5.29514   0.0189916
         589    -5.12801    -5.29486   0.0189615
         590    -5.12696    -5.29457   0.0189315
         591    -5.12588    -5.29429   0.0189016
         592    -5.12476      -5.294   0.0188719
         593    -5.12347    -5.29371   0.0188422
         594    -5.12246    -5.29343   0.0188127
