           2   -0.462383 0.000239224
     1.92105   -0.478281 0.000272829
     1.84211   -0.495039 0.000272124
     1.76316   -0.513204 0.000239647
     1.68421   -0.532311 0.000337689
     1.60526   -0.553175 0.000332263
     1.52632    -0.57527 0.000324938
     1.44737   -0.598202 0.000284714
     1.36842   -0.623099 0.000347519
     1.28947   -0.649989 0.000341335
     1.21053   -0.678812 0.000275769
     1.13158   -0.708253 0.000337894
     1.05263   -0.739805 0.000315226
    0.973684   -0.772702   0.0003601
    0.894737      -0.807 0.000299034
    0.815789   -0.842071 0.000359533
    0.736842    -0.87625 0.000472158
    0.657895   -0.909749 0.000805964
    0.578947   -0.943378 0.000940093
         0.5   -0.974114 0.000853487
