           2   0.0279922 0.000906372
     1.92105   0.0288719 0.000772896
     1.84211   0.0310727 0.000944996
     1.76316   0.0358302 0.000667389
     1.68421   0.0401694 0.000710983
     1.60526    0.042003  0.00108546
     1.52632   0.0475613  0.00133143
     1.44737   0.0540919  0.00158041
     1.36842   0.0622164  0.00153847
     1.28947   0.0708226    0.001494
     1.21053   0.0806336  0.00218928
     1.13158    0.100635  0.00170665
     1.05263    0.121195  0.00238404
    0.973684    0.156371  0.00323368
    0.894737    0.207268  0.00333571
    0.815789    0.261566   0.0044797
    0.736842     0.37045  0.00735083
    0.657895    0.516923  0.00830277
    0.578947    0.700775   0.0115545
         0.5    0.896015   0.0087619
