#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         161        -0.6   -0.582112  0.00902586
         162       -0.68   -0.582716  0.00899034
         163       -0.68   -0.583313  0.00895498
         164       -0.68   -0.583902  0.00891976
         165       -0.68   -0.584485  0.00888469
         166       -0.68    -0.58506  0.00884978
         167       -0.76   -0.586108  0.00885857
         168       -0.68   -0.586667  0.00882346
         169       -0.76   -0.587692  0.00883065
         170       -0.68   -0.588235  0.00879539
         171        -0.6   -0.588304  0.00874422
         172       -0.68   -0.588837  0.00870962
         173       -0.52   -0.588439  0.00866836
         174       -0.76   -0.589425  0.00867444
         175        -0.6   -0.589486  0.00862508
         176        -0.6   -0.589545  0.00857628
         177       -0.52   -0.589153  0.00853682
         178       -0.44   -0.588315  0.00852989
         179       -0.44   -0.587486  0.00852238
         180        -0.6   -0.587556  0.00847532
         181       -0.44    -0.58674  0.00846761
         182       -0.36   -0.585495  0.00851224
         183       -0.44   -0.584699  0.00850277
         184       -0.68   -0.585217  0.00847232
         185       -0.84   -0.586595  0.00853773
         186       -0.84   -0.587957  0.00859984
         187       -0.68   -0.588449  0.00856792
         188       -0.76   -0.589362   0.0085708
         189       -0.52   -0.588995  0.00853331
         190       -0.52   -0.588632  0.00849612
         191       -0.44   -0.587853   0.0084872
         192       -0.44   -0.587083  0.00847786
         193       -0.44   -0.586321  0.00846812
         194       -0.28   -0.584742  0.00857041
         195        -0.6   -0.584821  0.00852682
         196       -0.76   -0.585714  0.00853003
         197       -0.76   -0.586599  0.00853248
         198       -0.68   -0.587071  0.00850242
         199       -0.44   -0.586332  0.00849175
         200        -0.6     -0.5864  0.00844957
         201       -0.52    -0.58607  0.00841399
         202       -0.68   -0.586535  0.00838517
         203        -0.6   -0.586601  0.00834413
         204        -0.6   -0.586667  0.00830348
         205        -0.6   -0.586732  0.00826323
         206       -0.52   -0.586408  0.00822947
         207        -0.6   -0.586473  0.00818997
         208       -0.68   -0.586923  0.00816293
         209       -0.68   -0.587368  0.00813602
         210       -0.68    -0.58781  0.00810922
         211       -0.76   -0.588626  0.00811175
         212       -0.76   -0.589434  0.00811366
         213       -0.76   -0.590235  0.00811499
         214       -0.36   -0.589159  0.00814808
         215       -0.36   -0.588093  0.00817959
         216       -0.44   -0.587407  0.00817041
         217        -0.6   -0.587465  0.00813296
         218       -0.52   -0.587156  0.00810154
         219        -0.6   -0.587215  0.00806476
         220        -0.6   -0.587273  0.00802831
         221       -0.52   -0.586968  0.00799775
         222       -0.44   -0.586306  0.00798908
         223       -0.44    -0.58565  0.00798015
         224        -0.6   -0.585714  0.00794478
         225        -0.6   -0.585778  0.00790972
         226       -0.52   -0.585487  0.00788008
         227       -0.36   -0.584493  0.00790772
         228       -0.44    -0.58386   0.0078984
         229        -0.6    -0.58393  0.00786422
         230       -0.52   -0.583652  0.00783494
         231       -0.52   -0.583377  0.00780586
         232       -0.44   -0.582759  0.00779664
         233       -0.36   -0.581803  0.00782158
         234       -0.36   -0.580855  0.00784538
         235       -0.44   -0.580255  0.00783486
         236       -0.44   -0.579661  0.00782416
         237       -0.44   -0.579072  0.00781331
         238       -0.44   -0.578487   0.0078023
         239       -0.52   -0.578243  0.00777349
         240        -0.6   -0.578333  0.00774163
         241       -0.52   -0.578091  0.00771329
         242       -0.68   -0.578512  0.00769291
         243       -0.68    -0.57893  0.00767258
         244        -0.6   -0.579016  0.00764162
         245       -0.52   -0.578776  0.00761422
         246       -0.68   -0.579187  0.00759438
         247       -0.76   -0.579919  0.00759883
         248        -0.6       -0.58  0.00756862
         249       -0.52   -0.579759  0.00754206
         250        -0.6    -0.57984  0.00751233
         251       -0.52   -0.579602  0.00748618
         252        -0.6   -0.579683  0.00745691
         253        -0.6   -0.579763  0.00742787
         254        -0.6   -0.579843  0.00739905
