#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1          -1          -1           0
           2          -1          -1           0
           3          -1          -1           0
           4          -1          -1           0
           5          -1          -1           0
           6          -1          -1           0
           7          -1          -1           0
           8          -1          -1           0
           9          -1          -1           0
          10          -1          -1           0
          11          -1          -1           0
          12          -1          -1           0
          13          -1          -1           0
          14          -1          -1           0
          15          -1          -1           0
          16          -1          -1           0
          17          -1          -1           0
          18          -1          -1           0
          19          -1          -1           0
          20          -1          -1           0
          21          -1          -1           0
          22          -1          -1           0
          23          -1          -1           0
          24          -1          -1           0
          25          -1          -1           0
          26          -1          -1           0
          27          -1          -1           0
          28          -1          -1           0
          29          -1          -1           0
          30          -1          -1           0
          31          -1          -1           0
          32          -1          -1           0
          33          -1          -1           0
          34          -1          -1           0
          35          -1          -1           0
          36          -1          -1           0
          37          -1          -1           0
          38          -1          -1           0
          39       -0.92   -0.997949  0.00202481
          40       -0.92      -0.996  0.00275681
          41       -0.92   -0.994146  0.00325362
          42       -0.92   -0.992381  0.00362358
          43       -0.92   -0.990698  0.00391079
          44          -1   -0.990909  0.00382762
          45          -1   -0.991111  0.00374788
          46          -1   -0.991304  0.00367139
          47          -1   -0.991489  0.00359793
          48          -1   -0.991667  0.00352734
          49          -1   -0.991837  0.00345945
          50          -1      -0.992  0.00339411
          51          -1   -0.992157  0.00333118
          52          -1   -0.992308  0.00327054
          53          -1   -0.992453  0.00321205
          54          -1   -0.992593   0.0031556
          55          -1   -0.992727   0.0031011
          56          -1   -0.992857  0.00304844
          57          -1   -0.992982  0.00299754
          58       -0.92   -0.991724  0.00319908
          59       -0.92   -0.990508  0.00336793
          60       -0.92   -0.989333  0.00351083
          61       -0.92   -0.988197   0.0036326
          62       -0.92   -0.987097  0.00373684
          63       -0.92   -0.986032  0.00382628
          64       -0.92      -0.985  0.00390312
          65          -1   -0.985231  0.00384989
          66          -1   -0.985455  0.00379806
          67          -1   -0.985672  0.00374757
          68          -1   -0.985882  0.00369838
          69          -1   -0.986087  0.00365043
          70          -1   -0.986286  0.00360369
          71          -1   -0.986479  0.00355811
          72          -1   -0.986667  0.00351364
          73          -1   -0.986849  0.00347025
          74          -1   -0.987027  0.00342791
          75          -1     -0.9872  0.00338656
          76          -1   -0.987368  0.00334619
          77          -1   -0.987532  0.00330675
          78          -1   -0.987692  0.00326822
          79          -1   -0.987848  0.00323056
          80          -1      -0.988  0.00319374
          81          -1   -0.988148  0.00315775
          82          -1   -0.988293  0.00312255
          83          -1   -0.988434  0.00308811
          84          -1   -0.988571  0.00305441
          85          -1   -0.988706  0.00302144
          86          -1   -0.988837  0.00298916
          87          -1   -0.988966  0.00295755
          88          -1   -0.989091   0.0029266
          89          -1   -0.989213  0.00289628
          90          -1   -0.989333  0.00286658
          91          -1   -0.989451  0.00283748
          92          -1   -0.989565  0.00280895
          93          -1   -0.989677  0.00278099
          94          -1   -0.989787  0.00275357
          95          -1   -0.989895  0.00272668
          96          -1       -0.99  0.00270031
          97          -1   -0.990103  0.00267444
          98          -1   -0.990204  0.00264905
          99          -1   -0.990303  0.00262414
         100          -1     -0.9904  0.00259969
         101          -1   -0.990495  0.00257569
         102          -1   -0.990588  0.00255212
         103          -1    -0.99068  0.00252898
         104          -1   -0.990769  0.00250625
         105          -1   -0.990857  0.00248392
         106          -1   -0.990943  0.00246199
         107          -1   -0.991028  0.00244043
         108          -1   -0.991111  0.00241925
         109          -1   -0.991193  0.00239843
         110          -1   -0.991273  0.00237796
         111          -1   -0.991351  0.00235784
         112          -1   -0.991429  0.00233805
         113          -1   -0.991504  0.00231859
         114          -1   -0.991579  0.00229945
         115          -1   -0.991652  0.00228062
         116          -1   -0.991724  0.00226209
         117          -1   -0.991795  0.00224386
         118          -1   -0.991864  0.00222593
         119          -1   -0.991933  0.00220827
         120          -1      -0.992  0.00219089
         121          -1   -0.992066  0.00217378
         122          -1   -0.992131  0.00215694
         123          -1   -0.992195  0.00214035
         124          -1   -0.992258  0.00212401
         125          -1    -0.99232  0.00210792
         126          -1   -0.992381  0.00209207
         127          -1   -0.992441  0.00207646
         128          -1     -0.9925  0.00206108
         129          -1   -0.992558  0.00204592
         130          -1   -0.992615  0.00203098
         131          -1   -0.992672  0.00201626
         132          -1   -0.992727  0.00200175
         133          -1   -0.992782  0.00198745
         134          -1   -0.992836  0.00197335
         135          -1   -0.992889  0.00195944
         136          -1   -0.992941  0.00194573
         137          -1   -0.992993  0.00193221
         138          -1   -0.993043  0.00191888
         139          -1   -0.993094  0.00190573
         140          -1   -0.993143  0.00189275
         141          -1   -0.993191  0.00187995
         142          -1   -0.993239  0.00186732
         143          -1   -0.993287  0.00185486
         144          -1   -0.993333  0.00184257
         145          -1   -0.993379  0.00183044
         146          -1   -0.993425  0.00181846
         147          -1   -0.993469  0.00180664
         148          -1   -0.993514  0.00179497
         149          -1   -0.993557  0.00178345
         150          -1     -0.9936  0.00177208
         151          -1   -0.993642  0.00176085
         152          -1   -0.993684  0.00174976
         153          -1   -0.993725  0.00173881
         154          -1   -0.993766    0.001728
         155          -1   -0.993806  0.00171732
         156          -1   -0.993846  0.00170677
         157          -1   -0.993885  0.00169635
         158          -1   -0.993924  0.00168605
         159          -1   -0.993962  0.00167588
         160          -1      -0.994  0.00166583
         161          -1   -0.994037   0.0016559
         162          -1   -0.994074  0.00164609
         163          -1    -0.99411  0.00163639
         164          -1   -0.994146  0.00162681
         165          -1   -0.994182  0.00161734
         166       -0.92   -0.993735  0.00166819
         167       -0.92   -0.993293  0.00171564
         168          -1   -0.993333  0.00170589
         169          -1   -0.993373  0.00169625
         170          -1   -0.993412  0.00168672
         171          -1    -0.99345   0.0016773
         172          -1   -0.993488  0.00166798
         173          -1   -0.993526  0.00165876
         174          -1   -0.993563  0.00164964
