#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1       -0.92       -0.92           0
           2       -0.92       -0.92           0
           3       -0.92       -0.92           0
           4       -0.92       -0.92           0
           5       -0.92       -0.92   6.664e-09
           6       -0.92       -0.92           0
           7          -1   -0.931429   0.0105808
           8          -1       -0.94   0.0122474
           9          -1   -0.946667   0.0125708
          10          -1      -0.952   0.0123935
          11          -1   -0.956364   0.0120105
          12          -1       -0.96    0.011547
          13          -1   -0.963077   0.0110611
          14          -1   -0.965714   0.0105808
          15          -1      -0.968   0.0101193
          16          -1       -0.97  0.00968246
          17          -1   -0.971765  0.00927232
          18          -1   -0.973333  0.00888889
          19          -1   -0.974737  0.00853114
          20          -1      -0.976  0.00819756
          21          -1   -0.977143  0.00788646
          22          -1   -0.978182  0.00759612
          23          -1    -0.97913  0.00732484
          24          -1       -0.98  0.00707107
          25          -1     -0.9808  0.00683333
          26          -1   -0.981538  0.00661029
          27          -1   -0.982222  0.00640073
          28          -1   -0.982857  0.00620354
          29          -1   -0.983448  0.00601773
          30          -1      -0.984  0.00584237
          31          -1   -0.984516  0.00567666
          32          -1      -0.985  0.00551985
          33          -1   -0.985455  0.00537127
          34          -1   -0.985882   0.0052303
          35          -1   -0.986286  0.00509639
          36          -1   -0.986667  0.00496904
          37          -1   -0.987027  0.00484779
          38          -1   -0.987368  0.00473222
          39       -0.92   -0.985641  0.00491606
          40       -0.92      -0.984  0.00505964
          41       -0.92   -0.982439  0.00517143
          42       -0.92   -0.980952  0.00525764
          43       -0.92   -0.979535  0.00532303
          44          -1       -0.98  0.00522233
          45          -1   -0.980444  0.00512516
          46          -1    -0.98087  0.00503134
          47          -1   -0.981277  0.00494073
          48          -1   -0.981667  0.00485317
          49          -1   -0.982041  0.00476852
          50          -1     -0.9824  0.00468666
          51          -1   -0.982745  0.00460745
          52          -1   -0.983077  0.00453078
          53          -1   -0.983396  0.00445653
          54          -1   -0.983704   0.0043846
          55          -1      -0.984  0.00431488
          56          -1   -0.984286  0.00424728
          57          -1   -0.984561   0.0041817
          58       -0.92   -0.983448  0.00425518
          59       -0.92   -0.982373  0.00431681
          60       -0.92   -0.981333  0.00436824
          61       -0.92   -0.980328  0.00441082
          62       -0.92   -0.979355  0.00444571
          63       -0.92   -0.978413  0.00447386
          64       -0.92     -0.9775  0.00449609
          65          -1   -0.977846  0.00444023
          66          -1   -0.978182  0.00438562
          67          -1   -0.978507  0.00433224
          68          -1   -0.978824  0.00428004
          69          -1    -0.97913    0.004229
          70          -1   -0.979429  0.00417908
          71          -1   -0.979718  0.00413025
          72          -1       -0.98  0.00408248
          73          -1   -0.980274  0.00403574
          74          -1   -0.980541     0.00399
          75          -1     -0.9808  0.00394522
          76          -1   -0.981053  0.00390139
          77          -1   -0.981299  0.00385848
          78          -1   -0.981538  0.00381645
          79          -1   -0.981772  0.00377529
          80          -1      -0.982  0.00373497
          81          -1   -0.982222  0.00369546
          82          -1   -0.982439  0.00365675
          83          -1   -0.982651  0.00361881
          84          -1   -0.982857  0.00358162
          85          -1   -0.983059  0.00354516
          86          -1   -0.983256   0.0035094
          87          -1   -0.983448  0.00347434
          88          -1   -0.983636  0.00343994
          89          -1    -0.98382   0.0034062
          90          -1      -0.984   0.0033731
          91          -1   -0.984176  0.00334061
          92          -1   -0.984348  0.00330872
          93          -1   -0.984516  0.00327742
          94          -1   -0.984681  0.00324669
          95          -1   -0.984842  0.00321652
          96          -1      -0.985  0.00318689
          97          -1   -0.985155  0.00315778
          98          -1   -0.985306  0.00312919
          99          -1   -0.985455   0.0031011
         100          -1     -0.9856   0.0030735
         101          -1   -0.985743  0.00304637
         102          -1   -0.985882  0.00301971
         103          -1   -0.986019   0.0029935
         104          -1   -0.986154  0.00296774
         105          -1   -0.986286   0.0029424
         106          -1   -0.986415  0.00291749
         107          -1   -0.986542  0.00289298
         108          -1   -0.986667  0.00286888
         109          -1   -0.986789  0.00284516
         110          -1   -0.986909  0.00282183
         111          -1   -0.987027  0.00279887
         112          -1   -0.987143  0.00277628
         113          -1   -0.987257  0.00275404
         114          -1   -0.987368  0.00273215
         115          -1   -0.987478   0.0027106
         116          -1   -0.987586  0.00268938
         117          -1   -0.987692  0.00266849
         118          -1   -0.987797  0.00264791
         119          -1   -0.987899  0.00262764
         120          -1      -0.988  0.00260768
         121          -1   -0.988099  0.00258802
         122          -1   -0.988197  0.00256864
         123          -1   -0.988293  0.00254955
         124          -1   -0.988387  0.00253073
         125          -1    -0.98848  0.00251219
         126          -1   -0.988571  0.00249392
         127          -1   -0.988661   0.0024759
         128          -1    -0.98875  0.00245815
         129          -1   -0.988837  0.00244064
