#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         161       -0.28    -0.44646  0.00953144
         162       -0.52   -0.446914  0.00948341
         163       -0.52   -0.447362  0.00943583
         164       -0.44   -0.447317   0.0093784
         165       -0.44   -0.447273  0.00932166
         166       -0.44   -0.447229  0.00926561
         167        -0.6   -0.448144  0.00925518
         168       -0.36   -0.447619  0.00921495
         169        -0.6   -0.448521  0.00920443
         170       -0.68   -0.449882  0.00925045
         171       -0.52   -0.450292  0.00920544
         172       -0.68   -0.451628  0.00924829
         173       -0.36   -0.451098  0.00920998
         174       -0.44   -0.451034  0.00915727
         175       -0.44   -0.450971  0.00910516
         176        -0.6   -0.451818  0.00909272
         177       -0.44   -0.451751  0.00904159
         178       -0.44   -0.451685  0.00899104
         179       -0.68   -0.452961  0.00903083
         180        -0.6   -0.453778  0.00901753
         181       -0.44   -0.453702  0.00896803
         182       -0.36   -0.453187  0.00893352
         183       -0.28    -0.45224  0.00893469
         184       -0.36   -0.451739  0.00890018
         185        -0.6   -0.452541  0.00888808
         186        -0.6   -0.453333  0.00887558
         187       -0.52    -0.45369  0.00883528
         188       -0.68   -0.454894  0.00886991
         189        -0.6   -0.455661  0.00885614
         190       -0.44   -0.455579  0.00880991
         191        -0.6   -0.456335  0.00879618
         192       -0.44    -0.45625  0.00875078
         193       -0.44   -0.456166  0.00870584
         194       -0.36    -0.45567  0.00867506
         195       -0.44    -0.45559  0.00863095
         196        -0.6   -0.456327   0.0086183
         197       -0.28   -0.455431  0.00862091
         198       -0.68   -0.456566  0.00865166
         199       -0.44   -0.456482  0.00860858
         200       -0.28     -0.4556  0.00861064
         201        -0.2   -0.454328   0.0086612
         202       -0.36   -0.453861   0.0086309
         203       -0.44   -0.453793  0.00858865
         204       -0.28   -0.452941   0.0085887
         205       -0.44   -0.452878  0.00854703
         206       -0.36   -0.452427  0.00851743
         207       -0.44   -0.452367  0.00847649
         208       -0.36   -0.451923  0.00844736
         209       -0.52   -0.452249  0.00841322
         210       -0.52   -0.452571  0.00837934
         211       -0.44   -0.452512  0.00833984
         212       -0.36   -0.452075  0.00831191
