#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         161       -0.76   -0.770435  0.00770204
         162       -0.84   -0.770864  0.00766646
         163       -0.76   -0.770798  0.00761971
         164       -0.84    -0.77122  0.00758492
         165       -0.84   -0.771636   0.0075504
         166       -0.84   -0.772048  0.00751614
         167       -0.76   -0.771976  0.00747148
         168       -0.76   -0.771905  0.00742735
         169       -0.84   -0.772308  0.00739432
         170       -0.84   -0.772706  0.00736154
         171       -0.84   -0.773099    0.007329
         172       -0.84   -0.773488   0.0072967
         173       -0.76    -0.77341  0.00725494
         174        -0.6   -0.772414  0.00728138
         175        -0.6   -0.771429  0.00730612
         176       -0.76   -0.771364  0.00726489
         177       -0.76   -0.771299  0.00722413
         178       -0.76   -0.771236  0.00718383
         179       -0.68   -0.770726  0.00716175
         180       -0.68   -0.770222  0.00713968
         181       -0.68   -0.769724  0.00711761
         182       -0.76    -0.76967  0.00707871
         183       -0.68    -0.76918  0.00705696
         184       -0.68   -0.768696  0.00703524
         185       -0.76   -0.768649  0.00699736
         186       -0.76   -0.768602   0.0069599
         187       -0.76   -0.768556  0.00692283
         188       -0.76   -0.768511  0.00688616
         189        -0.6   -0.767619   0.0069072
         190        -0.6   -0.766737  0.00692696
         191       -0.44   -0.765026  0.00709878
         192       -0.52    -0.76375   0.0071756
         193        -0.6   -0.762902  0.00718841
         194       -0.52   -0.761649  0.00725958
         195       -0.76   -0.761641  0.00722235
         196       -0.76   -0.761633  0.00718551
         197       -0.76   -0.761624  0.00714904
         198       -0.76   -0.761616  0.00711294
         199       -0.76   -0.761608   0.0070772
         200       -0.76     -0.7616  0.00704182
         201       -0.68   -0.761194  0.00701848
         202       -0.68   -0.760792  0.00699523
         203        -0.6       -0.76  0.00700547
         204       -0.68   -0.759608   0.0069821
         205       -0.68    -0.75922  0.00695883
         206       -0.68   -0.758835  0.00693567
         207       -0.68   -0.758454  0.00691261
         208       -0.68   -0.758077  0.00688966
         209        -0.6   -0.757321  0.00689809
         210       -0.68   -0.756952  0.00687506
         211       -0.68   -0.756588  0.00685214
         212       -0.68   -0.756226  0.00682934
         213       -0.84    -0.75662  0.00680859
         214       -0.76   -0.756636  0.00677679
         215       -0.76   -0.756651  0.00674529
         216       -0.76   -0.756667  0.00671408
         217       -0.68   -0.756313  0.00669243
         218       -0.68   -0.755963  0.00667088
         219       -0.84   -0.756347  0.00665145
         220       -0.76   -0.756364  0.00662123
         221       -0.76    -0.75638  0.00659129
         222        -0.6   -0.755676  0.00659914
         223        -0.6   -0.754978  0.00660636
         224       -0.68   -0.754643  0.00658535
         225       -0.76   -0.754667  0.00655612
         226       -0.68   -0.754336  0.00653543
         227       -0.68   -0.754009  0.00651484
         228       -0.68   -0.753684  0.00649435
         229       -0.68   -0.753362  0.00647395
         230       -0.68   -0.753043  0.00645366
         231       -0.76   -0.753074  0.00642579
         232       -0.76   -0.753103  0.00639816
         233       -0.76   -0.753133  0.00637077
         234       -0.76   -0.753162  0.00634361
         235       -0.76   -0.753191  0.00631669
         236       -0.76    -0.75322  0.00628999
         237       -0.92   -0.753924  0.00630269
         238       -0.84   -0.754286  0.00628657
         239       -0.92   -0.754979  0.00629839
         240       -0.92   -0.755667  0.00630957
         241       -0.92   -0.756349  0.00632013
         242          -1   -0.757355   0.0063737
         243          -1   -0.758354  0.00642521
         244          -1   -0.759344  0.00647475
         245          -1   -0.760327  0.00652241
         246          -1   -0.761301  0.00656826
         247       -0.92   -0.761943  0.00657302
         248          -1   -0.762903  0.00661623
         249          -1   -0.763855  0.00665783
         250          -1     -0.7648  0.00669787
         251          -1   -0.765737  0.00673641
         252       -0.92   -0.766349  0.00673744
         253          -1   -0.767273  0.00677381
         254       -0.92   -0.767874  0.00677377
         255       -0.84   -0.768157  0.00675311
         256       -0.84   -0.768438  0.00673256
         257       -0.92   -0.769027  0.00673214
         258       -0.92   -0.769612  0.00673143
         259       -0.84   -0.769884  0.00671093
         260       -0.76   -0.769846  0.00668522
         261       -0.76   -0.769808  0.00665972
         262       -0.68   -0.769466  0.00664311
         263       -0.68   -0.769125  0.00662656
         264       -0.68   -0.768788  0.00661005
         265        -0.6   -0.768151  0.00661572
         266       -0.76    -0.76812  0.00659092
         267       -0.76    -0.76809  0.00656631
         268       -0.84   -0.768358  0.00654729
         269       -0.92   -0.768922  0.00654717
         270       -0.84   -0.769185  0.00652821
         271       -0.92   -0.769742   0.0065278
         272       -0.92   -0.770294  0.00652713
         273       -0.92   -0.770842  0.00652622
         274       -0.92   -0.771387  0.00652507
         275       -0.92   -0.771927  0.00652368
         276       -0.92   -0.772464  0.00652207
         277       -0.84   -0.772708  0.00650308
         278       -0.76   -0.772662  0.00647984
         279       -0.84   -0.772903  0.00646111
         280       -0.84   -0.773143  0.00644248
         281       -0.84   -0.773381  0.00642394
         282       -0.84   -0.773617  0.00640551
         283       -0.84   -0.773852  0.00638717
         284       -0.84   -0.774085  0.00636892
         285       -0.84   -0.774316  0.00635077
         286       -0.84   -0.774545  0.00633272
         287       -0.76   -0.774495  0.00631086
         288       -0.76   -0.774444  0.00628914
         289       -0.68   -0.774118  0.00627587
         290       -0.84   -0.774345  0.00625834
         291       -0.76   -0.774296  0.00623702
         292       -0.68   -0.773973  0.00622402
         293       -0.68   -0.773652  0.00621103
         294       -0.68   -0.773333  0.00619807
         295       -0.68   -0.773017  0.00618513
         296       -0.76   -0.772973  0.00616439
         297       -0.84   -0.773199  0.00614777
         298       -0.84   -0.773423  0.00613122
         299       -0.84   -0.773645  0.00611476
         300       -0.68   -0.773333  0.00610234
         301       -0.76   -0.773289  0.00608222
         302       -0.68    -0.77298  0.00606992
         303       -0.76   -0.772937  0.00605004
         304       -0.92   -0.773421  0.00604945
         305       -0.92   -0.773902  0.00604868
         306       -0.92   -0.774379  0.00604772
         307       -0.84   -0.774593   0.0060318
         308       -0.76   -0.774545   0.0060124
         309       -0.76   -0.774498  0.00599313
         310       -0.68   -0.774194  0.00598154
         311       -0.76   -0.774148  0.00596248
         312       -0.76   -0.774103  0.00594355
         313       -0.76   -0.774058  0.00592473
         314       -0.84   -0.774268  0.00590958
         315       -0.84   -0.774476   0.0058945
         316       -0.84   -0.774684   0.0058795
         317       -0.84    -0.77489  0.00586456
         318       -0.84   -0.775094  0.00584969
         319       -0.84   -0.775298  0.00583489
         320       -0.76    -0.77525  0.00581685
         321       -0.76   -0.775202  0.00579892
         322       -0.68   -0.774907  0.00578845
         323       -0.92   -0.775356  0.00578793
         324       -0.92   -0.775802  0.00578726
         325       -0.84      -0.776  0.00577282
         326       -0.76   -0.775951  0.00575532
         327       -0.76   -0.775902  0.00573793
         328       -0.84   -0.776098  0.00572376
         329       -0.84   -0.776292  0.00570966
         330       -0.84   -0.776485  0.00569562
         331       -0.92   -0.776918  0.00569489
         332       -0.84   -0.777108  0.00568091
         333       -0.92   -0.777538  0.00568003
         334       -0.76   -0.777485  0.00566326
         335       -0.68   -0.777194  0.00565383
         336       -0.76   -0.777143  0.00563724
         337       -0.76   -0.777092  0.00562074
         338       -0.68   -0.776805  0.00561144
         339       -0.76   -0.776755  0.00559511
         340       -0.92   -0.777176  0.00559449
         341       -0.92   -0.777595  0.00559374
         342       -0.76   -0.777544  0.00557762
         343       -0.92   -0.777959   0.0055768
         344       -0.92   -0.778372  0.00557586
         345       -0.92   -0.778783  0.00557479
         346       -0.92   -0.779191   0.0055736
         347       -0.92   -0.779597  0.00557229
         348       -0.84    -0.77977  0.00555898
         349          -1   -0.780401  0.00557875
         350       -0.92     -0.7808  0.00557705
         351       -0.92   -0.781197  0.00557524
         352       -0.92   -0.781591  0.00557333
         353          -1    -0.78221  0.00559178
         354       -0.92   -0.782599  0.00558952
         355          -1   -0.783211  0.00560722
         356          -1    -0.78382  0.00562444
         357          -1   -0.784426  0.00564119
         358       -0.92   -0.784804  0.00563813
         359       -0.84   -0.784958  0.00562452
         360       -0.92   -0.785333  0.00562139
         361       -0.92   -0.785706  0.00561818
         362       -0.84   -0.785856  0.00560466
         363       -0.76   -0.785785  0.00558967
         364       -0.84   -0.785934   0.0055763
         365       -0.92   -0.786301  0.00557311
         366       -0.84   -0.786448  0.00555981
         367       -0.92   -0.786812  0.00555656
         368       -0.92   -0.787174  0.00555323
         369       -0.84   -0.787317  0.00554003
         370       -0.92   -0.787676  0.00553665
         371       -0.92   -0.788032   0.0055332
         372       -0.92   -0.788387  0.00552969
         373       -0.92    -0.78874  0.00552611
         374       -0.92   -0.789091  0.00552247
         375       -0.84   -0.789227  0.00550941
         376       -0.84   -0.789362  0.00549641
         377       -0.84   -0.789496  0.00548347
         378       -0.92   -0.789841  0.00547983
         379       -0.92   -0.790185  0.00547612
         380          -1   -0.790737  0.00548947
         381       -0.92   -0.791076  0.00548554
         382       -0.84   -0.791204  0.00547267
         383       -0.84   -0.791332  0.00545987
         384       -0.84   -0.791458  0.00544712
         385       -0.84   -0.791584  0.00543443
         386       -0.76   -0.791503  0.00542097
         387       -0.68   -0.791214  0.00541461
         388       -0.68   -0.790928  0.00540824
         389       -0.68   -0.790643  0.00540185
         390       -0.68   -0.790359  0.00539544
         391       -0.68   -0.790077  0.00538902
         392       -0.68   -0.789796  0.00538258
         393       -0.68   -0.789517  0.00537613
         394       -0.76   -0.789442  0.00536301
         395       -0.76   -0.789367  0.00534995
         396       -0.76   -0.789293  0.00533695
         397       -0.84   -0.789421  0.00532504
         398       -0.84   -0.789548  0.00531318
         399       -0.84   -0.789674  0.00530136
         400       -0.84     -0.7898   0.0052896
         401       -0.84   -0.789925  0.00527789
         402       -0.76   -0.789851  0.00526529
         403       -0.84   -0.789975  0.00525369
         404       -0.84   -0.790099  0.00524215
         405       -0.76   -0.790025  0.00522973
         406       -0.84   -0.790148   0.0052183
         407       -0.84    -0.79027  0.00520692
         408       -0.84   -0.790392  0.00519558
         409       -0.76   -0.790318  0.00518341
         410       -0.76   -0.790244  0.00517129
         411       -0.76    -0.79017  0.00515923
         412       -0.84   -0.790291  0.00514813
         413       -0.76   -0.790218  0.00513619
         414       -0.76   -0.790145   0.0051243
         415       -0.84   -0.790265  0.00511336
         416       -0.84   -0.790385  0.00510246
         417       -0.84   -0.790504  0.00509162
         418       -0.84   -0.790622  0.00508081
         419       -0.84    -0.79074  0.00507005
         420       -0.84   -0.790857  0.00505934
         421       -0.84   -0.790974  0.00504867
         422       -0.84    -0.79109  0.00503804
         423       -0.68   -0.790827  0.00503297
         424       -0.68   -0.790566  0.00502788
         425       -0.76   -0.790494  0.00501657
         426       -0.92   -0.790798  0.00501399
         427       -0.92   -0.791101  0.00501137
         428       -0.92   -0.791402   0.0050087
         429       -0.92   -0.791702  0.00500599
         430       -0.84   -0.791814  0.00499561
         431       -0.92   -0.792111  0.00499286
         432       -0.84   -0.792222  0.00498254
         433       -0.84   -0.792333  0.00497225
         434       -0.84   -0.792442  0.00496201
         435       -0.76   -0.792368  0.00495116
         436       -0.68    -0.79211  0.00494651
         437       -0.84    -0.79222   0.0049364
         438       -0.76   -0.792146  0.00492568
         439       -0.68   -0.791891  0.00492108
         440       -0.84      -0.792  0.00491111
         441       -0.84   -0.792109  0.00490118
         442       -0.92   -0.792398  0.00489863
         443       -0.84   -0.792506  0.00488875
         444       -0.76   -0.792432  0.00487828
         445       -0.76    -0.79236  0.00486787
         446       -0.76   -0.792287  0.00485749
         447       -0.84   -0.792394   0.0048478
         448       -0.84     -0.7925  0.00483814
         449       -0.68   -0.792249  0.00483385
         450       -0.76   -0.792178  0.00482364
         451       -0.76   -0.792106  0.00481347
         452       -0.84   -0.792212  0.00480399
         453       -0.76   -0.792141  0.00479391
         454       -0.84   -0.792247  0.00478451
         455       -0.76   -0.792176  0.00477452
         456       -0.68    -0.79193  0.00477038
         457       -0.76    -0.79186  0.00476045
         458       -0.76    -0.79179  0.00475057
         459       -0.76   -0.791721  0.00474072
         460       -0.68   -0.791478  0.00473663
         461       -0.76    -0.79141  0.00472685
         462       -0.84   -0.791515  0.00471779
         463       -0.84    -0.79162  0.00470876
         464       -0.84   -0.791724  0.00469977
         465       -0.84   -0.791828  0.00469081
         466       -0.76    -0.79176  0.00468124
         467       -0.76   -0.791692  0.00467171
         468       -0.76   -0.791624  0.00466222
         469       -0.68   -0.791386  0.00465835
         470       -0.84   -0.791489  0.00464958
         471       -0.84   -0.791592  0.00464085
         472       -0.84   -0.791695  0.00463215
         473       -0.84   -0.791797  0.00462349
         474       -0.76    -0.79173  0.00461422
