#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         174          -1   -0.982529  0.00250569
         175          -1   -0.982629  0.00249336
         176          -1   -0.982727  0.00248115
         177          -1   -0.982825  0.00246905
         178          -1   -0.982921  0.00245706
         179          -1   -0.983017  0.00244519
         180          -1   -0.983111  0.00243342
         181          -1   -0.983204  0.00242176
         182          -1   -0.983297  0.00241022
         183          -1   -0.983388  0.00239877
         184          -1   -0.983478  0.00238743
         185          -1   -0.983568   0.0023762
         186          -1   -0.983656  0.00236507
         187          -1   -0.983743  0.00235403
         188          -1    -0.98383   0.0023431
         189          -1   -0.983915  0.00233226
         190          -1      -0.984  0.00232152
         191          -1   -0.984084  0.00231088
         192          -1   -0.984167  0.00230033
         193          -1   -0.984249  0.00228987
         194          -1    -0.98433  0.00227951
         195          -1    -0.98441  0.00226924
         196          -1    -0.98449  0.00225905
         197          -1   -0.984569  0.00224896
         198          -1   -0.984646  0.00223895
         199          -1   -0.984724  0.00222903
         200          -1     -0.9848  0.00221919
         201          -1   -0.984876  0.00220944
         202          -1    -0.98495  0.00219977
         203          -1   -0.985025  0.00219018
         204          -1   -0.985098  0.00218067
         205          -1   -0.985171  0.00217125
         206          -1   -0.985243   0.0021619
         207          -1   -0.985314  0.00215263
         208          -1   -0.985385  0.00214344
         209          -1   -0.985455  0.00213432
         210          -1   -0.985524  0.00212528
         211          -1   -0.985592  0.00211632
         212          -1    -0.98566  0.00210743
         213          -1   -0.985728  0.00209861
         214          -1   -0.985794  0.00208986
         215          -1    -0.98586  0.00208119
         216          -1   -0.985926  0.00207258
         217          -1   -0.985991  0.00206404
         218          -1   -0.986055  0.00205557
         219          -1   -0.986119  0.00204717
         220          -1   -0.986182  0.00203884
         221          -1   -0.986244  0.00203057
         222          -1   -0.986306  0.00202237
         223          -1   -0.986368  0.00201424
         224          -1   -0.986429  0.00200616
         225          -1   -0.986489  0.00199815
         226          -1   -0.986549  0.00199021
         227          -1   -0.986608  0.00198232
         228          -1   -0.986667   0.0019745
         229          -1   -0.986725  0.00196673
         230          -1   -0.986783  0.00195903
         231          -1    -0.98684  0.00195138
         232          -1   -0.986897   0.0019438
         233          -1   -0.986953  0.00193627
         234          -1   -0.987009  0.00192879
         235          -1   -0.987064  0.00192138
         236          -1   -0.987119  0.00191402
         237          -1   -0.987173  0.00190672
         238          -1   -0.987227  0.00189947
         239          -1    -0.98728  0.00189227
         240          -1   -0.987333  0.00188513
         241          -1   -0.987386  0.00187804
         242          -1   -0.987438    0.001871
         243          -1    -0.98749  0.00186401
