1 0
1.986 0.0117286
2.991 0.0198945
3.9808 0.024586
5.0048 0.0335418
6.0164 0.0425943
6.9882 0.0495767
7.9968 0.0561695
9.0548 0.0658189
10.075 0.0752268
11.084 0.0823602
12.0968 0.0917975
13.0218 0.0982625
13.9564 0.110408
14.961 0.124991
15.9208 0.124693
16.8836 0.129543
17.894 0.147943
18.8748 0.143969
19.907 0.152475
20.8856 0.160768
21.8986 0.173434
22.8174 0.184424
23.9016 0.199653
24.9632 0.209892
26.0328 0.225313
27.0288 0.223917
27.9776 0.236162
29.0026 0.233264
29.9906 0.257643
30.905 0.264604
31.95 0.277261
32.9608 0.285192
33.9054 0.30169
34.875 0.297778
35.867 0.31245
36.8934 0.317207
37.7734 0.330914
38.7862 0.342015
39.7194 0.343573
40.6952 0.346805
41.8096 0.35073
42.8654 0.369675
43.9426 0.380804
44.937 0.37998
45.9826 0.393134
46.9912 0.397976
47.8504 0.405998
48.8702 0.426769
49.8904 0.43939
50.914 0.436761
51.8476 0.442454
52.8666 0.447894
53.831 0.463964
54.592 0.473676
55.6708 0.469641
56.6144 0.483818
57.585 0.498839
58.5338 0.51821
59.5836 0.523662
60.4522 0.522919
61.438 0.532223
62.385 0.524741
63.4718 0.526651
64.462 0.539418
65.5026 0.532939
66.5376 0.546283
67.6112 0.566284
68.5116 0.584502
69.4612 0.597682
70.5556 0.616772
71.5086 0.621156
72.5572 0.635436
73.5662 0.642194
74.4812 0.660945
75.4152 0.67122
76.403 0.668277
77.2882 0.671125
78.0848 0.671232
79.2528 0.677567
80.1804 0.674531
81.108 0.684684
81.9268 0.691797
83.0286 0.705931
84.1546 0.703741
85.108 0.712316
86.1652 0.713194
87.2524 0.720481
88.3628 0.733487
89.3746 0.748128
90.4666 0.747926
91.6038 0.767385
92.4612 0.764515
93.5572 0.762984
94.65 0.776306
95.7716 0.776097
96.9226 0.778828
98.054 0.785763
98.952 0.825273
99.926 0.808192
