#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         134    0.900242    0.900081 6.27481e-06
         135    0.900246    0.900082 6.34579e-06
         136    0.900249    0.900083 6.41706e-06
         137    0.900253    0.900085 6.48861e-06
         138    0.900257    0.900086 6.56044e-06
         139    0.900261    0.900087 6.63256e-06
         140    0.900264    0.900088 6.70496e-06
         141    0.900268     0.90009 6.77765e-06
         142    0.900272    0.900091 6.85061e-06
         143    0.900276    0.900092 6.92386e-06
         144     0.90028    0.900094 6.99739e-06
         145    0.900284    0.900095 7.07121e-06
         146    0.900288    0.900096  7.1453e-06
         147    0.900292    0.900097 7.21969e-06
         148    0.900296    0.900099 7.29435e-06
         149      0.9003      0.9001 7.36929e-06
         150    0.900304    0.900102 7.44451e-06
         151    0.900308    0.900103 7.52001e-06
         152    0.900312    0.900104 7.59579e-06
         153    0.900317    0.900106 7.67184e-06
         154    0.900321    0.900107 7.74817e-06
         155    0.900325    0.900108 7.82477e-06
         156    0.900329     0.90011 7.90164e-06
         157    0.900334    0.900111 7.97878e-06
         158    0.900338    0.900113 8.05619e-06
         159    0.900342    0.900114 8.13387e-06
         160    0.900347    0.900116 8.21182e-06
         161    0.900351    0.900117 8.29004e-06
         162    0.900356    0.900119 8.36854e-06
         163     0.90036     0.90012  8.4473e-06
         164    0.900365    0.900122 8.52634e-06
         165    0.900369    0.900123 8.60566e-06
         166    0.900374    0.900125 8.68525e-06
         167    0.900378    0.900126 8.76511e-06
         168    0.900383    0.900128 8.84524e-06
         169    0.900388    0.900129 8.92565e-06
         170    0.900392    0.900131 9.00632e-06
         171    0.900397    0.900132 9.08726e-06
         172    0.900402    0.900134 9.16847e-06
         173    0.900406    0.900135 9.24996e-06
         174    0.900411    0.900137 9.33172e-06
         175    0.900416    0.900139 9.41375e-06
         176    0.900421     0.90014 9.49605e-06
         177    0.900426    0.900142 9.57861e-06
         178    0.900431    0.900143 9.66145e-06
         179    0.900436    0.900145 9.74455e-06
         180    0.900441    0.900147 9.82791e-06
         181    0.900446    0.900148 9.91154e-06
         182    0.900451     0.90015 9.99543e-06
         183    0.900456    0.900152 1.00796e-05
         184    0.900461    0.900153  1.0164e-05
         185    0.900466    0.900155 1.02487e-05
         186    0.900471    0.900157 1.03336e-05
         187    0.900476    0.900158 1.04188e-05
         188    0.900482     0.90016 1.05043e-05
         189    0.900487    0.900162   1.059e-05
         190    0.900492    0.900164  1.0676e-05
         191    0.900498    0.900165 1.07623e-05
         192    0.900503    0.900167 1.08488e-05
         193    0.900508    0.900169 1.09356e-05
         194    0.900514    0.900171 1.10226e-05
         195    0.900519    0.900172   1.111e-05
         196    0.900525    0.900174 1.11976e-05
         197     0.90053    0.900176 1.12854e-05
         198    0.900536    0.900178 1.13735e-05
         199    0.900541     0.90018 1.14619e-05
         200    0.900547    0.900182 1.15506e-05
         201    0.900552    0.900183 1.16395e-05
         202    0.900558    0.900185 1.17287e-05
         203    0.900564    0.900187 1.18181e-05
         204    0.900569    0.900189 1.19078e-05
         205    0.900575    0.900191 1.19978e-05
         206    0.900581    0.900193 1.20881e-05
         207    0.900587    0.900195 1.21786e-05
         208    0.900593    0.900197 1.22693e-05
         209    0.900598    0.900198 1.23604e-05
         210    0.900604      0.9002 1.24517e-05
         211     0.90061    0.900202 1.25433e-05
         212    0.900616    0.900204 1.26351e-05
         213    0.900622    0.900206 1.27272e-05
         214    0.900628    0.900208 1.28195e-05
         215    0.900634     0.90021 1.29121e-05
         216     0.90064    0.900212  1.3005e-05
         217    0.900646    0.900214 1.30981e-05
         218    0.900653    0.900216 1.31915e-05
         219    0.900659    0.900218 1.32852e-05
         220    0.900665     0.90022 1.33791e-05
         221    0.900671    0.900222 1.34733e-05
         222    0.900678    0.900224 1.35677e-05
         223    0.900684    0.900226 1.36624e-05
         224     0.90069    0.900229 1.37574e-05
         225    0.900697    0.900231 1.38526e-05
         226    0.900703    0.900233 1.39481e-05
         227    0.900709    0.900235 1.40438e-05
         228    0.900716    0.900237 1.41398e-05
         229    0.900722    0.900239  1.4236e-05
         230    0.900729    0.900241 1.43326e-05
         231    0.900735    0.900243 1.44293e-05
         232    0.900742    0.900245 1.45264e-05
         233    0.900749    0.900248 1.46236e-05
         234    0.900755     0.90025 1.47212e-05
         235    0.900762    0.900252  1.4819e-05
         236    0.900769    0.900254 1.49171e-05
         237    0.900775    0.900256 1.50154e-05
         238    0.900782    0.900259  1.5114e-05
         239    0.900789    0.900261 1.52128e-05
         240    0.900796    0.900263 1.53119e-05
         241    0.900803    0.900265 1.54113e-05
         242     0.90081    0.900267 1.55109e-05
         243    0.900817     0.90027 1.56108e-05
         244    0.900824    0.900272  1.5711e-05
         245    0.900831    0.900274 1.58114e-05
         246    0.900838    0.900277 1.59121e-05
         247    0.900845    0.900279 1.60131e-05
         248    0.900852    0.900281 1.61143e-05
         249    0.900859    0.900284 1.62158e-05
         250    0.900866    0.900286 1.63176e-05
         251    0.900873    0.900288 1.64196e-05
         252    0.900881    0.900291 1.65219e-05
         253    0.900888    0.900293 1.66245e-05
         254    0.900895    0.900295 1.67273e-05
         255    0.900903    0.900298 1.68304e-05
         256     0.90091      0.9003 1.69338e-05
         257    0.900917    0.900302 1.70375e-05
         258    0.900925    0.900305 1.71414e-05
         259    0.900932    0.900307 1.72455e-05
         260     0.90094     0.90031   1.735e-05
         261    0.900947    0.900312 1.74547e-05
         262    0.900955    0.900315 1.75597e-05
         263    0.900963    0.900317 1.76649e-05
         264     0.90097     0.90032 1.77704e-05
         265    0.900978    0.900322 1.78762e-05
         266    0.900986    0.900325 1.79822e-05
         267    0.900993    0.900327 1.80885e-05
         268    0.901001     0.90033 1.81951e-05
         269    0.901009    0.900332 1.83019e-05
         270    0.901017    0.900335  1.8409e-05
         271    0.901025    0.900337 1.85164e-05
         272    0.901033     0.90034  1.8624e-05
         273    0.901041    0.900342 1.87319e-05
         274    0.901049    0.900345 1.88401e-05
         275    0.901057    0.900347 1.89485e-05
         276    0.901065     0.90035 1.90572e-05
         277    0.901073    0.900353 1.91661e-05
         278    0.901081    0.900355 1.92754e-05
         279    0.901089    0.900358 1.93849e-05
         280    0.901097    0.900361 1.94946e-05
         281    0.901105    0.900363 1.96046e-05
         282    0.901114    0.900366 1.97149e-05
         283    0.901122    0.900369 1.98255e-05
         284     0.90113    0.900371 1.99363e-05
         285    0.901139    0.900374 2.00474e-05
         286    0.901147    0.900377 2.01587e-05
         287    0.901155    0.900379 2.02703e-05
         288    0.901164    0.900382 2.03822e-05
         289    0.901172    0.900385 2.04943e-05
         290    0.901181    0.900388 2.06067e-05
         291     0.90119     0.90039 2.07194e-05
         292    0.901198    0.900393 2.08323e-05
         293    0.901207    0.900396 2.09455e-05
         294    0.901215    0.900399  2.1059e-05
         295    0.901224    0.900401 2.11727e-05
         296    0.901233    0.900404 2.12867e-05
         297    0.901242    0.900407  2.1401e-05
         298     0.90125     0.90041 2.15155e-05
         299    0.901259    0.900413 2.16303e-05
         300    0.901268    0.900416 2.17454e-05
         301    0.901277    0.900418 2.18607e-05
         302    0.901286    0.900421 2.19763e-05
         303    0.901295    0.900424 2.20921e-05
         304    0.901304    0.900427 2.22082e-05
         305    0.901313     0.90043 2.23246e-05
         306    0.901322    0.900433 2.24413e-05
         307    0.901331    0.900436 2.25582e-05
         308     0.90134    0.900439 2.26753e-05
