           2    0.027534  0.00112187
     1.92105   0.0302663  0.00117395
     1.84211   0.0331017   0.0010673
     1.76316   0.0361207 0.000978494
     1.68421   0.0403422  0.00105704
     1.60526   0.0441704  0.00125469
     1.52632   0.0491014  0.00127731
     1.44737   0.0562788  0.00137691
     1.36842   0.0645859  0.00160716
     1.28947   0.0748394  0.00175921
     1.21053   0.0880105  0.00219508
     1.13158     0.10121  0.00289786
     1.05263    0.125303  0.00339093
    0.973684    0.157094  0.00424063
    0.894737    0.201961   0.0052418
    0.815789    0.267121  0.00622771
    0.736842    0.376092  0.00870061
    0.657895    0.537092   0.0121293
    0.578947    0.765766   0.0150905
         0.5    0.901776    0.012122
