#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1           2           2           0
           2     1.99998     1.99999 6.37103e-06
           3     1.99993     1.99997 1.76686e-05
           4     1.99984     1.99994  3.1487e-05
           5     1.99971     1.99989 4.74409e-05
           6     1.99955     1.99984 6.52804e-05
           7     1.99935     1.99977 8.48301e-05
           8     1.99912     1.99969  0.00010596
           9     1.99885     1.99959 0.000128569
          10     1.99854     1.99949 0.000152578
          11      1.9982     1.99937 0.000177922
          12     1.99782     1.99924 0.000204548
          13     1.99741      1.9991 0.000232414
          14     1.99696     1.99895 0.000261483
          15     1.99647     1.99878 0.000291727
          16     1.99594      1.9986 0.000323121
          17     1.99537     1.99841 0.000355646
          18     1.99477     1.99821 0.000389286
          19     1.99413       1.998 0.000424028
          20     1.99345     1.99777 0.000459863
          21     1.99272     1.99753 0.000496786
          22     1.99196     1.99728  0.00053479
          23     1.99116     1.99701 0.000573876
          24     1.99031     1.99673 0.000614041
          25     1.98943     1.99644 0.000655289
          26      1.9885     1.99613 0.000697616
          27     1.98753     1.99581 0.000741017
          28     1.98651     1.99548 0.000785498
          29     1.98545     1.99514 0.000831071
          30     1.98435     1.99478 0.000877748
          31      1.9832      1.9944  0.00092554
          32       1.982     1.99402  0.00097445
          33     1.98075     1.99361  0.00102448
          34     1.97946      1.9932  0.00107566
          35     1.97811     1.99277  0.00112798
          36     1.97672     1.99232  0.00118146
          37     1.97527     1.99186  0.00123613
          38     1.97377     1.99138  0.00129199
          39     1.97222     1.99089  0.00134908
          40     1.97061     1.99039  0.00140741
          41     1.96895     1.98986    0.001467
          42     1.96723     1.98932  0.00152788
          43     1.96545     1.98877  0.00159006
          44     1.96361      1.9882  0.00165357
          45      1.9617     1.98761  0.00171843
          46     1.95974       1.987  0.00178467
          47     1.95771     1.98638   0.0018523
          48     1.95562     1.98574  0.00192135
          49     1.95346     1.98508  0.00199185
          50     1.95124      1.9844  0.00206382
          51     1.94894     1.98371  0.00213729
          52     1.94657     1.98299  0.00221229
          53     1.94413     1.98226  0.00228884
          54     1.94162     1.98151  0.00236697
          55     1.93903     1.98073  0.00244671
          56     1.93636     1.97994  0.00252809
          57     1.93361     1.97913  0.00261114
          58     1.93078      1.9783  0.00269589
          59     1.92787     1.97744  0.00278235
          60     1.92488     1.97657  0.00287057
          61      1.9218     1.97567  0.00296056
          62     1.91864     1.97475  0.00305236
          63     1.91538     1.97381  0.00314601
          64     1.91203     1.97284  0.00324152
          65     1.90859     1.97185  0.00333895
          66     1.90506     1.97084   0.0034383
          67     1.90143      1.9698  0.00353963
          68     1.89769     1.96874  0.00364296
          69     1.89386     1.96766  0.00374832
          70     1.88993     1.96655  0.00385575
          71     1.88589     1.96541  0.00396529
          72     1.88174     1.96425  0.00407694
          73     1.87749     1.96306  0.00419076
          74     1.87312     1.96185  0.00430676
          75     1.86865      1.9606  0.00442497
          76     1.86406     1.95933  0.00454542
          77     1.85936     1.95803  0.00466814
          78     1.85454     1.95671  0.00479315
          79     1.84961     1.95535  0.00492047
          80     1.84455     1.95397  0.00505013
          81     1.83937     1.95255  0.00518216
          82     1.83408     1.95111  0.00531656
          83     1.82865     1.94963  0.00545337
          84      1.8231     1.94813  0.00559261
          85     1.81743     1.94659  0.00573428
