#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         168     1.09127      1.1015  0.00601319
         169     1.13624     1.10171  0.00598112
         170     1.04455     1.10137  0.00595538
         171     1.13642     1.10158  0.00592408
         172     1.11231     1.10164  0.00588997
         173     1.04589     1.10132  0.00586473
         174     1.13246     1.10149  0.00583376
         175     1.08501      1.1014  0.00580118
         176     1.06984     1.10122  0.00577099
         177       1.108     1.10126  0.00573851
         178     1.11252     1.10132  0.00570662
         179     1.23021     1.10204  0.00571999
         180     1.10935     1.10208  0.00568835
         181     1.03225      1.1017     0.00567
         182     1.11658     1.10178  0.00563943
         183     1.15824     1.10209  0.00561705
         184     1.09286     1.10204  0.00558675
         185     1.03773     1.10169  0.00556735
         186     1.06944     1.10152  0.00554012
         187     1.10341     1.10153   0.0055105
         188      1.0796     1.10141  0.00548242
         189     1.12376     1.10153  0.00545469
         190    0.998205     1.10098  0.00545302
         191     1.11554     1.10106  0.00542501
         192     1.15643     1.10135  0.00540441
         193     1.14504     1.10158  0.00538115
         194     1.08223     1.10148  0.00535434
         195     1.02763      1.1011  0.00534025
         196     1.08776     1.10103  0.00531344
         197     1.06602     1.10085  0.00528944
         198     1.05004     1.10059  0.00526895
         199     1.14148      1.1008  0.00524648
         200     1.06143      1.1006  0.00522393
